"","variable","chain1","chain2","chain3"
"1","Tau",0.328905624968889,-0.748662358204296,0.809538939445346
"2","alpha",-0.131667827490102,-2.20875347723387,0.912349883335677
"3","beta",-0.509627143725183,-2.29430224438609,1.00120038309918
"4","e[1]",-1.0054357493287,-1.21142903519382,0.999056706914705
"5","e[2]",-0.753182009363626,-1.81679786577601,1.0481045186039
"6","e[3]",-0.893478684001424,-1.57342260466482,1.05006191201003
"7","e[4]",-0.958470118153774,-1.39939221954186,1.03186468467714
"8","e[5]",-1.02937388705861,-0.550483289557974,0.798644028103179
"9","e[6]",-0.411511072319719,1.20683277469282,-0.15295641991696
"10","e[7]",-0.778135986859319,0.49791039671433,0.280675097471388
"11","e[8]",-0.449305482360933,1.14399533373359,-0.100266099669875
"12","e[9]",-0.343898573105575,1.35051212800513,-0.245777165857347
"13","e[10]",-1.03519555022748,-0.99277383004897,0.946360346512429
"14","e[11]",-0.624648250933973,0.729624356400653,0.148143570107098
"15","e[12]",-0.652188764232537,0.661770761418899,0.187454622856999
"16","e[13]",-0.1619117071237,1.69184450443552,-0.480617892116875
"17","e[14]",-0.925200380740787,0.0147852166499267,0.543115304467862
"18","e[15]",-0.772837735224846,0.513054548638161,0.272166498740693
"19","e[16]",-0.963788385653,-0.146254182106866,0.622432905084793
"20","e[17]",-0.908725809063624,0.0773668773273489,0.506655446555591
"21","e[18]",-0.473882961569616,1.08788001771601,-0.0657704162313845
"22","e[19]",-0.816746828225194,0.383916420178273,0.343967983978196
"23","e[20]",-0.153264650801224,1.70593839268264,-0.491037048144023
"24","e[21]",-0.42737351359427,1.17215836948307,-0.130900636918367
"25","e[22]",-0.0901327957047848,1.80173243021059,-0.564588725246519
"26","e[23]",-0.213849162315929,1.60266875825031,-0.416442724358879
"27","e[24]",-0.42527931750046,1.17675523985712,-0.133817608940706
"28","e[25]",-0.069108171389847,1.83070413049038,-0.592517128729675
"29","e[26]",-0.414498376139181,1.20032846131328,-0.148809740040185
"30","e[27]",-0.583049245432329,0.830700744408196,0.0888630236358353
