"variable","X2.5","X50","X97.5","post_cv"
"lnalpha",1.2331796482576,1.57168483976532,1.89448747228192,0.10846832811736
"lnalpha.c",1.32895486480993,1.65982532102233,1.99595031142325,0.103053375602897
"beta",0.0944472556374993,0.133120117871964,0.170046564586674,0.14758765439752
"beta1",9.44472556374993e-06,1.33120117871964e-05,1.70046564586674e-05,0.14758765439752
"alpha",3.43212517558215,4.81475348044876,6.64913978313221,0.17064567725174
"alpha.c",3.77709396446734,5.25839223383868,7.35919323150802,0.17388289822685
"Smsy_lambert",39910.1658537193,46105.6314445459,56853.5449285119,0.0935202374531943
"Smsy_lambert.c",41340.377309477,47910.9223944048,60017.6782182967,0.101269943242814
"Umsy_lambert",0.513225448759793,0.615603674829617,0.697804927363195,0.0778162273244018
"Umsy_lambert.c",0.543903646908466,0.639516427911156,0.720652294518954,0.0712258974744116
"Smax",58807.4215101782,75120.125811052,105879.201477137,0.166364514749911
"Rmsy.c",112990.80905689,134008.071921063,163873.543715761,0.101387831322919
"Rmsy",100366.961042569,121142.449761871,145540.243496453,0.0953704733358669
"Seq",105007.774909026,117950.817294083,140486.438409604,0.0762199996671189
"MSY",53054.6028679094,74412.3140460525,99401.096420442,0.158334778541758
"MSY.c",63265.6509297362,85697.8482425501,115785.640394212,0.158462839973527
"Rmax.c",127215.257659442,146414.823622596,175523.934008231,0.0879965939786871
"Rmax",116277.113056511,134323.92605021,157607.468264232,0.0791839272175645
