"lnalpha","lnalpha.c","beta","beta1","alpha","alpha.c","Smsy_lambert","Smsy_lambert.c","Umsy_lambert","Umsy_lambert.c","Smax","Rmsy.c","Rmsy","Seq","MSY","MSY.c","Rmax.c","Rmax"
1.27750002807968,1.39782453927544,0.102480069669082,1.02480069669082e-05,3.58765945713444,4.0463876275111,51482.2681064533,55144.9544143273,0.527590642227167,0.565125877027859,97579.9492749273,126806.704518172,108978.08703275,124658.387938734,57495.8189262968,71661.7501038444,145255.835986315,128788.569374114
1.90023332982104,1.97433794337135,0.160675769996129,1.60675769996129e-05,6.68745464284657,7.20185004255912,43512.2289656121,44555.6900625783,0.69913608932976,0.715901980851365,62237.1375611948,156832.103919977,144624.288332486,118265.083146439,101112.059366874,112276.413857398,164891.85451677,153114.379158042
1.65636336876303,1.73469111620466,0.137010661761519,1.37010661761519e-05,5.24021940564688,5.66717703427553,46609.3848297995,48095.0744110969,0.638598265982813,0.658953797253388,72987.0206554146,141022.166567942,128968.348634384,120893.027408779,82358.9638045846,92927.0921568452,152166.108358617,140702.114841296
1.66951243624053,1.7723638784714,0.137389588543643,1.37389588543643e-05,5.30957840797651,5.88474776111844,46733.9985019103,48652.4762675308,0.642076482517668,0.668434369602541,72785.7191072627,146735.583568205,130569.789966979,121516.663230285,83835.7914650685,98083.1073006737,157572.18146901,142171.234246173
1.37043876997514,1.47172448092386,0.121510036711629,1.21510036711629e-05,3.93707778806778,4.35674178476854,45820.9647216474,48318.7913075875,0.556770710548964,0.587121810564651,82297.7284068498,117029.168757178,103379.821262262,112783.997689632,57558.8565406145,68710.3774495902,131903.156025919,119197.558960515
1.58947313017137,1.71709909733517,0.130698656921881,1.30698656921881e-05,4.90116597146987,5.56835176563057,47477.1466411881,50073.8125250143,0.620519930048647,0.654458004397742,76511.8803476079,144913.825706594,125111.041133924,121613.57795141,77633.8944927359,94840.01318158,156733.220067485,137953.842919022
1.50321649569866,1.58316153894482,0.123134545232279,1.23134545232279e-05,4.49612761226128,4.87032923213929,48422.8076268255,50252.4127739919,0.596252039599931,0.618780799375027,81211.9781750616,131820.256407882,119933.256328636,122079.185241072,71510.4487018105,81567.8436338904,145507.013719059,134327.284866649
1.27631330712802,1.37783354407076,0.0998656343717864,9.98656343717864e-06,3.58340443175249,3.9662994997256,52791.9131084451,55978.9849649153,0.52720978922751,0.559037684500995,100134.546412346,126947.321794535,111660.334553435,127803.054089306,58868.4214449895,70968.3368296194,146108.323714794,132003.449248284
1.48855286665221,1.54458984628161,0.129973103409566,1.29973103409566e-05,4.43067909394188,4.68604923229312,45549.3290877888,46780.9979524494,0.592018765976351,0.608027148447638,76938.99535882,119347.54605371,111645.647616107,114527.762098712,66096.3185283183,72566.5481012602,132635.224339114,125407.157814266
1.46687700456829,1.55503827867286,0.12124642453603,1.2124642453603e-05,4.33567368678783,4.73526778145657,48306.8708492854,50390.0588541709,0.585703537099964,0.610961446822836,82476.6589057506,129524.589382338,116599.76653226,120983.114362468,68292.8956829748,79134.5305281669,143674.972017151,131550.700905267
1.37409375587767,1.43674863359816,0.117035525695014,1.17035525695014e-05,3.95149408150611,4.20699507356288,47668.6205333258,49285.1521792703,0.557892206327393,0.576811369425966,85444.1413461009,116461.427880086,107821.262632221,117408.261100006,60152.6420988948,67176.275700816,132239.077620451,124207.878408211
1.58413261395139,1.66958242829826,0.130286389448024,1.30286389448024e-05,4.87506098420164,5.30995004930077,47514.460442809,49283.3467486064,0.619048749766455,0.642094930779095,76753.9882129389,137699.49348828,124725.828865714,121588.495978957,77211.3684229052,88416.1467396734,149932.887468981,137653.266633831
1.53824460642941,1.59755038121484,0.136895192268595,1.36895192268595e-05,4.65640926176324,4.94091423166083,44284.786268193,45490.0694646809,0.606237433075794,0.622737180567925,73048.5843533459,120579.254359496,112465.709003561,112366.590888838,68180.9227353681,75089.1848948153,132777.545821556,125132.023170105
1.56679112190062,1.68361731704871,0.159524513693251,1.59524513693251e-05,4.79124896599085,5.38500003468134,38504.6234918782,40481.5563733648,0.61424313374836,0.645780059400694,62686.2904545753,114283.674444962,99815.7825835316,98216.3233491123,61311.1590916534,73802.118071597,124183.472345579,110490.98043397
1.49641080194302,1.60208874462273,0.131038232910423,1.31038232910423e-05,4.46563223345614,4.96338885644333,45352.5037797937,47618.0758986564,0.594291195336744,0.623978852035432,76313.605410384,126636.696250774,111785.850488103,114196.503471316,66433.3467083091,79018.6203521177,139343.203755894,125369.081529362
1.45286197381869,1.53955962757138,0.126724762623541,1.26724762623541e-05,4.27533291332517,4.66253656627262,45893.4503459662,47868.21545347,0.581583660106781,0.606608824055349,78911.1756295559,121680.958751868,109683.695330059,114647.04638151,63790.2449840926,73812.7432983983,135352.5002479,124112.055956124
1.42380339201349,1.50150305598762,0.116672950394543,1.16672950394543e-05,4.15288549242498,4.48843036493235,49107.3349285366,51062.307190476,0.572949765212534,0.59575900338653,85709.6693465271,126316.498371641,114991.939889639,122033.71794394,65884.6049611026,75254.1911811652,141523.913538187,130943.906795534
1.6134076498813,1.7037490103506,0.136392145226159,1.36392145226159e-05,5.01988813645824,5.49450779365573,45974.9858395404,47731.2666253376,0.627062694539718,0.651016984939155,73318.0051051951,136772.46331606,123278.055497284,118291.830310758,77303.069657744,89041.1966907228,148198.890287308,135397.3602601
1.67637430609262,1.77046035653743,0.142909474498082,1.42909474498082e-05,5.34613733182142,5.8735566693028,45055.2199322143,46740.0871951971,0.643881780390825,0.667960129906014,69974.3668859004,140766.490427691,126517.592898394,117303.230732622,81462.3729661795,94026.4032324944,151197.86513671,137620.967466552
1.44050174832412,1.50396850330768,0.105142374252117,1.05142374252117e-05,4.2228140754212,4.49951000607037,54966.0722001164,56729.5817748479,0.577926333443353,0.596468291813713,95109.1324609179,140582.71165313,130228.622525872,137004.871591542,75262.5503257558,83853.1298782825,157431.981002193,147750.75161531
1.78085399320736,1.8667602863419,0.168993376027557,1.68993376027557e-05,5.9349226386441,6.4673101898343,39678.6786604452,40907.9747777106,0.670543386314124,0.691317676413548,59173.9169609188,132524.513559499,120436.73434426,105380.106313573,80758.0556838143,91616.5387817888,140786.018626591,129196.544564214
1.54329529118689,1.59075525961316,0.128825326276727,1.28825326276727e-05,4.67998680830292,4.90745393078851,47169.4893965522,48194.9108258761,0.607662486181747,0.620872511202127,77624.4880491836,127120.592016926,120226.814248517,119797.506887098,73057.3248519652,78925.68119105,140139.47892164,133643.824664562
1.61010000609168,1.68144916741118,0.139172817562694,1.39172817562694e-05,5.00331156444985,5.37333719676575,44991.7912506243,46360.5334660028,0.626163435554195,0.645212606617318,71853.1116573481,130671.310003389,120351.499905641,115690.695517203,75359.7086550165,84310.7765373862,142034.940428035,132253.948333501
1.40155972860777,1.52299671960694,0.116808271074742,1.16808271074742e-05,4.06152991345933,4.58594742259663,48477.4653896898,51529.9742040486,0.56625689182553,0.601912719530096,85610.3759433382,129443.91024808,111765.384800512,119988.055273154,63287.9194108224,77913.9360440315,144431.191348339,127915.030426951
