"","variable","0","2.5","5","50","95","97.5","100","mean","sd","post_cv"
"1","lnalpha",0.868022940113228,1.21349933223753,1.27642566515791,1.55752290990189,1.82302634093681,1.87912157944373,2.55724101042098,1.5544935114322,0.166021978669311,0.106801332683821
"2","lnalpha.c",1.02403598247038,1.31111104922581,1.36805544309467,1.64585643162426,1.92176714829521,1.98442696820099,2.9410894077633,1.64475370091127,0.167454849066363,0.101811504648742
"3","beta",0.0513360170813755,0.0955864243209659,0.101676386631974,0.133655833791308,0.164466727941896,0.170888592021522,0.201044123807658,0.133479440284949,0.0191582494072471,0.14352959052232
"4","beta1",5.13360170813755e-06,9.55864243209659e-06,1.01676386631974e-05,1.33655833791308e-05,1.64466727941896e-05,1.70888592021522e-05,2.01044123807658e-05,1.33479440284949e-05,1.91582494072471e-06,0.14352959052232
"5","alpha",2.38219644968746,3.36524022238987,3.58380707982516,4.74704780446002,6.19056489648661,6.54775099840154,12.9001767189987,4.79820545290617,0.801559869601529,0.1670540950088
"6","alpha.c",2.78440994633452,3.71029382271992,3.92770563048777,5.18544898988787,6.83302282446444,7.27487746378857,18.9364646109052,5.25338005539176,0.901435220376882,0.171591472703693
"7","Smsy_lambert",33952.4786596017,39514.8496030525,40547.3239446203,45602.1825841559,53542.3133236722,55603.1432855875,78864.0002358187,46140.4869690927,4138.86634846262,0.0897014015312637
"8","Smsy_lambert.c",35438.3186366854,40899.2230256662,41916.0745749854,47429.6879165701,56277.4252457069,58677.9868767143,88990.0662775204,48062.3094368881,4648.7643832145,0.0967236996657207
"9","Umsy_lambert",0.38381496349503,0.5067533661504,0.527245857044909,0.611656888283083,0.680869904340292,0.694222847312278,0.823395950379455,0.608812810474935,0.0467816388803543,0.076840759713745
"10","Umsy_lambert.c",0.44151265780697,0.538290868142522,0.556038349192347,0.635801153246223,0.704084798046821,0.718127286594793,0.873508583207111,0.633502427930563,0.0447440383999411,0.0706296241769816
"11","Smax",49740.3247138282,58517.6569903425,60802.5717493695,74819.0312609886,98351.2529638442,104617.367040659,194795.010765024,76597.9334957193,12073.4729022741,0.15762139200464
"12","Rmsy.c",88617.5450303212,109965.281449397,113427.027052463,130832.10383328,154589.429253492,160185.705884221,403426.331042712,132189.175593914,13570.1529090915,0.10265706589153
"13","Rmsy",73345.5516070083,98078.1087689955,101269.489278672,118409.499231509,138040.260960297,141938.242096399,272374.339165312,118874.982279195,11445.1216432996,0.0962786401634875
"14","Seq",86652.6786293736,103541.906173019,105392.043349119,116118.883052007,132761.459434829,137008.826322368,197450.659301421,117341.456114698,8712.35868470834,0.0742479169185717
"15","MSY",30178.1323179279,51582.1455418819,55062.8900555701,72280.2240779769,91979.7838603706,97095.8929258611,224271.927855998,72734.4953101026,11571.2402907681,0.159088754812063
"16","MSY.c",41171.4331350912,61364.6692833361,64791.1955565589,83206.6864865427,106961.826282967,112931.660959853,352396.362857563,84126.8661570257,13491.6092526748,0.160372183928642
"17","Rmax.c",106860.194660129,125011.719896782,127764.430737557,143327.172511254,165581.27103704,171371.302617464,406970.134285779,144818.303393784,12799.7575042016,0.0883849430924277
"18","Rmax",90844.7541860491,113959.489426967,116808.272489319,131512.866610253,149373.805777221,153785.235942303,277242.175850386,132248.898316577,10499.0199417628,0.0793883357472689
