"parameter","X0.","X2.5.","X5.","X50.","X95.","X97.5.","X100."
"lnalpha",1.21213491637033,1.29642221719134,1.33879406050151,1.61399419903,1.87226363742881,1.90906043387694,1.98357879744844
"phi",-0.968505049311736,-0.926630963554287,-0.911169957158478,0.0899065063304314,0.91278456596246,0.973387354568385,0.995602653087511
"beta",0.0890785107493659,0.0954363135587127,0.106631856705596,0.137956552305638,0.170373937316194,0.174391969122263,0.188996634359856
"sigma",0.323541609149765,0.341165831154154,0.346993362531056,0.417201886297282,0.489393783494823,0.51178225318254,0.577232280270627
"sigmaw",0.0291595223388939,0.0594364598418157,0.0886325374785974,0.987670500027549,1.70044196345677,1.79586488115892,1.92392951248305
"Tau",3.00122655279446,3.81891284859782,4.17553795774215,5.74524122164949,8.30536886542037,8.59150220874557,9.55299867931993
"tauw",0.270160397569683,0.310217089844617,0.345842411046955,1.02512485885605,134.039211683716,293.501452115708,1176.08629438374
"alpha",3.36065170964295,3.65621580009038,3.81484681167858,5.02284536168109,6.5030116738995,6.7468891110032,7.26870973242572
"lnalpha.c",1.30560382267856,1.40172564285771,1.42851050172089,1.70395942798375,1.97280109917784,2.01880139185712,2.08604159855295
"e0",-0.761223081899039,-0.363323974416314,-0.32729453051821,-0.0268188241954993,0.323181750954978,0.425008431886564,0.464843746469416
