"","variable","0","2.5","5","50","95","97.5","100","mean","sd","post_cv"
"1","lnalpha",0.87125583671163,1.23671102135751,1.29998249888536,1.58484112386296,1.85983728915661,1.90889887147348,2.32550123654245,1.58315438785009,0.168517982704398,0.106444440288129
"2","lnalpha.c",1.06004029731456,1.33727444201653,1.39367719055033,1.67404856357256,1.95669389038959,2.00837666869697,3.19858450018877,1.67308098028461,0.170270024761178,0.101770342719581
"3","beta",0.0641346321888819,0.0942692820554085,0.100407252364514,0.133842144022435,0.165546374187194,0.171138345114143,0.211038497425977,0.133521863303568,0.0195495992372566,0.146414967208851
"4","beta1",6.41346321888819e-06,9.42692820554085e-06,1.00407252364514e-05,1.33842144022435e-05,1.65546374187194e-05,1.71138345114143e-05,2.11038497425977e-05,1.33521863303568e-05,1.95495992372566e-06,0.146414967208851
"5","alpha",2.38991030681909,3.44426669575902,3.6692326145727,4.87851624797509,6.42269167031037,6.74565687751446,10.2318073564383,4.93948688004723,0.831684290592832,0.168374632991206
"6","alpha.c",2.88648730461124,3.80864865434565,4.02964060023862,5.3337180415299,7.07589466823856,7.45121174683636,24.4978289708299,5.40716296204127,0.954960610295766,0.176610288426605
"7","Smsy_lambert",35862.3010611377,39954.6456019611,40817.4606409717,46158.0868614492,54555.9929045071,56888.6473233229,72574.2203199569,46759.3286832486,4305.6755259523,0.0920816369097018
"8","Smsy_lambert.c",37212.9024095313,41275.4517995854,42153.7537532886,47923.8494166471,57645.0901884372,60103.6388094884,78382.0722365844,48648.6104999825,4813.38708019962,0.0989419231244301
"9","Umsy_lambert",0.385046771471235,0.514380708490838,0.534766541045231,0.619244163728321,0.689681428304051,0.701135128497574,0.785598126245475,0.61672836422589,0.0469260153951535,0.0760886285067405
"10","Umsy_lambert.c",0.454319202731971,0.546504502986502,0.563867654169685,0.643270651446072,0.711977435929511,0.723355321767279,0.899635707984737,0.640954128309037,0.0447962119539048,0.0698898875526178
"11","Smax",47384.7194799496,58432.2583964714,60406.0345718044,74714.8820438047,99594.3999116387,106079.10522955,155921.998126522,76644.3006695293,12300.3042329027,0.160485569382889
"12","Rmsy.c",88808.7321849528,114078.877542206,117136.194808734,135405.648246446,159751.620571647,166480.610614417,609251.924945917,136600.419241486,14769.5097673336,0.10812199442246
"13","Rmsy",73993.5937651965,101750.957790139,105047.173899313,122430.194920926,142372.444363031,147547.194558069,267860.401956282,122951.852661962,11688.3795408967,0.0950646882323293
"14","Seq",93903.4392951986,105370.342972254,107260.550678918,118318.710854338,135785.689887032,140496.648414926,193331.760016337,119531.921740162,9003.72341015673,0.0753248444355222
"15","MSY",29964.7670884914,54497.2044761749,57698.7594931694,75660.0928872004,96368.2688368478,101073.785769936,199677.561980139,76192.5239787133,11920.1925633591,0.15644832249801
"16","MSY.c",44601.5923406359,64645.8533675813,68217.33810419,86716.9733732555,111024.5288437,117594.569399912,548104.786839784,87951.8087415038,14758.3028239312,0.16779987853697
"17","Rmax.c",107492.512931218,128488.403844427,131130.027080874,147562.466415281,170487.394696418,179085.855208678,612551.442424221,149018.207943237,14015.0911429236,0.0940495214401058
"18","Rmax",94104.2883294611,117305.54285082,120244.375158776,135383.578083104,154011.989404545,159144.784533258,278573.479722479,136105.204189449,10726.5566807066,0.0788107754188143
