"variable","point_estimate","Upper C.I.","converge"
"Tau",1.01531492758302,1.05581118876476,"false"
"alpha",1.04402456119207,1.04469109887127,"false"
"beta",1.04202362328351,1.05767031665832,"false"
"e[1]",1.03764347534187,1.05481807351475,"false"
"e[2]",1.03803829601376,1.07737954764872,"false"
"e[3]",1.03332247111258,1.07262999041821,"false"
"e[4]",1.03843982576702,1.07660399280178,"false"
"e[5]",1.03775994333099,1.07743530861115,"false"
"e[6]",1.02570598204516,1.05636821791412,"false"
"e[7]",1.03511197068704,1.07509420352811,"false"
"e[8]",1.03805744268325,1.05495955904172,"false"
"e[9]",1.02590760305118,1.05434889409866,"false"
"e[10]",1.04071038449146,1.05588426883526,"false"
"e[11]",1.03496676436284,1.05394535419169,"false"
"e[12]",1.02593662151745,1.0542774611147,"false"
"e[13]",1.04143548786173,1.05613863370064,"false"
"e[14]",1.02611287016295,1.05393677939287,"false"
"e[15]",1.02815310173962,1.06363781631999,"false"
"e[16]",1.03825375467478,1.07716217666916,"false"
"e[17]",1.04040557787826,1.05577727234238,"false"
"e[18]",1.03221996511712,1.07094292736495,"false"
"e[19]",1.03829278472249,1.07709112562402,"false"
"e[20]",1.02709061905918,1.05308462477964,"false"
"e[21]",1.04329790841944,1.05678730693961,"false"
"e[22]",1.0384847534552,1.0762527599235,"false"
"e[23]",1.0290561860759,1.05273942404982,"false"
"e[24]",1.03844713918353,1.07426045200832,"false"
"e[25]",1.02570681640974,1.05520061832994,"false"
"e[26]",1.03805308759837,1.06228078698059,"false"
"e[27]",1.03775559207808,1.06663203104879,"false"
"e[28]",1.03811698474212,1.07105234004024,"false"
"e[29]",1.0318594457646,1.05310942861394,"false"
"e[30]",1.03849824256288,1.07510602116026,"false"
"e[31]",1.04357956892665,1.0568849744625,"false"
"e0",1.00568326583025,1.041610079732,"true"
"lnalpha",1.044674692945,1.05732617969768,"false"
"lnalpha.c",1.04419207425028,1.04987608065409,"false"
"phi",1.06266574511362,1.16013446293821,"false"
"sigma",1.00214067364659,1.02717115002225,"true"
"sigmaw",1.00379604179054,1.03875968101202,"true"
"tauw",1.28328702951951,1.7716086257713,"false"
