"","variable","0","2.5","5","50","95","97.5","100","mean","sd","post_cv"
"1","lnalpha",1.31857599292633,1.58161968183301,1.68782992262906,2.00279730805195,2.31101487872218,2.41435219415994,2.6345635011496,2.00993502536559,0.207253867293621,0.103114710017018
"2","lnalpha.c",1.42017966638786,1.69433784373225,1.76898593878874,2.08973166314681,2.40948423678128,2.48989748848398,2.73240776691394,2.09799126503687,0.20569992450327,0.0980461300918025
"3","beta",0.112013854971035,0.137718216275542,0.152839226215718,0.199914403107164,0.24212074780445,0.251015465815409,0.292541653163969,0.198275603520529,0.0288651035520697,0.145580712097447
"4","beta1",1.12013854971035e-05,1.37718216275542e-05,1.52839226215718e-05,1.99914403107164e-05,2.4212074780445e-05,2.51015465815409e-05,2.92541653163969e-05,1.98275603520529e-05,2.88651035520697e-06,0.145580712097447
"5","alpha",3.73809451238669,4.86349747458528,5.40773347885323,7.40975452206514,10.0846597690044,11.1855393627532,13.937227551427,7.62203092177829,1.58154224715804,0.207496173052661
"6","alpha.c",4.13786380851419,5.44368832742396,5.86491237380539,8.08275416843705,11.1282202776279,12.0678611873676,15.3698495186526,8.32173192963829,1.72578864454423,0.207383349900727
"7","Smsy_lambert",28532.0596758655,31368.8065471904,32478.9493036368,36288.332045414,42732.0102301056,45247.4471070066,48766.1802453963,36836.9367979948,3447.88722818497,0.0935986411435996
"8","Smsy_lambert.c",28989.7286165314,32121.0343792109,33245.8776341735,37123.5223678474,44453.4325546804,47227.8130279872,51463.6717618551,37828.8025441657,3828.11758789879,0.101195843654565
"9","Umsy_lambert",0.540644699571286,0.61833495589594,0.646880656067796,0.722144222058645,0.783027917523076,0.800786847781873,0.834681590575071,0.720858155562387,0.0459223281803192,0.0637050823743434
"10","Umsy_lambert.c",0.571864386581502,0.648558964558922,0.667592221351872,0.740547888649427,0.800007719148705,0.812968266860898,0.848070313425491,0.739524617516553,0.0430703231573827,0.058240553643799
"11","Smax",34183.1663691154,39838.21333621,41301.8467828066,50021.6735302567,65430.8987086075,72612.0968366182,89274.6705537972,51599.9292329273,8314.76942859734,0.161139163409772
"12","Rmsy.c",111772.726204709,120338.288727764,124598.13082293,145243.0130305,174906.826155867,181451.523014221,190810.165347866,147136.409153105,14383.3303966026,0.0977550728564799
"13","Rmsy",102481.279775891,109419.894186805,112720.603695844,132992.968875293,156881.138292453,163795.939239811,172588.520389932,133735.855369322,12769.8440309517,0.0954855673946733
"14","Seq",90057.7224697959,91697.1797501099,93828.1573017292,101318.101302154,112741.516917344,116032.961211391,127937.198299366,102118.76336223,6236.57561380391,0.0610717894387529
"15","MSY",56807.2051943599,69719.4016513767,72956.577544611,95547.5072877245,122749.07975871,131604.496217037,144056.460714067,96898.918571327,14773.8546699545,0.152466662041016
"16","MSY.c",64589.165995537,80021.9589067253,83462.4221441993,108122.398598607,137140.244731066,146696.330647743,161820.436731334,109307.60660894,16211.5835392368,0.148311577228432
"17","Rmax.c",126041.046561699,129360.527792739,134516.191995055,152145.634218068,178834.410885296,185328.711597843,193280.224906704,153433.825126593,13153.143561066,0.0857251883684307
"18","Rmax",116974.553166529,119405.084364105,123036.488750889,139062.884712623,161220.233926431,167588.70283796,175488.6266831,140444.806681121,11312.3612769269,0.080546668433327
