year,spawn,recruit50
1976,116989,132699.7552
1977,216631,102634.7395
1978,146884,88102.55873
1979,128879,80321.05179
1980,94934.70845,105142.8677
1981,61774,119710.3375
1982,75501,150488.2997
1983,63645,69131.84971
1984,58188,92444.40905
1985,107586,169812.0573
1986,71543,251443.3119
1987,72720,200102.8138
1988,46166.04746,130290.0855
1989,83680.44136,127103.0117
1990,75246.47414,83279.44209
1991,86602.84262,198570.4172
1992,82589.89784,75697.30066
1993,64819.99595,82394.76318
1994,77409.4045,156834.6797
1995,45470.86383,105617.0734
1996,62569.46884,118045.4356
1997,39902.26624,114549.7765
1998,50059.49649,198260.3177
1999,62465.32756,98261.36519
2000,37823.70854,77882.59533
2001,61924.99884,202816.8128
2002,69747.42186,190979.4324
2003,84858.81882,57646.28377
2004,40679.43519,105293.9563
2005,74065.23373,219665.9142
2006,85133.89312,95997.70682
2007,59938.59881,186509.9603
2008,29647.66008,143217.4952
2009,87454.5923,267990.7219
2010,57196.95494,120488.6993
2011,91371.90676,144807.3464
2012,63646.52933,98119.42854
2013,127609.4156,87906.7089
2014,107518.048,76814.4968
2015,97221.45089,76091.6254
2016,53865.98727,159636.6517
2017,89808.84438,112993.3746
2018,27639.80677,166220.3897
