yr,S,N,A2,A3,A4,A5,A6,A7
1976,116989,170492,0,2081,48990,95239,23872,310
1977,216631,290297,0,3543,83416,162163,40646,529
1978,146884,175497,0,2142,50429,98035,24572,320
1979,128879,167725,0,2047,48195,93693,23484,305
1980,95424,127171,0,1552,36542,71039,17806,232
1981,61774,92872,0,1133,26687,51880,13004,169
1982,75501,115744,0,0,14030,64196,37306,213
1983,63645,87029,116,1513,16463,60676,8261,0
1984,58188,69953,0,109,23227,37968,8486,163
1985,107586,128086,0,128,41285,66158,19488,1026
1986,71543,88863,0,0,12857,59912,16093,0
1987,72720,133944,0,0,7267,104875,21659,142
1988,46160,95418,0,1562,20200,40957,31806,893
1989,83676,163563,0,5321,78037,59710,19509,985
1990,69372,160805,0,768,62895,83531,13611,0
1991,77922,194157,0,213,37469,149237,7025,213
1992,76015,172801,0,298,16684,130346,25473,0
1993,59282,144989,0,1206,39287,77669,26225,603
1994,70984,155113,0,852,34091,86079,33726,365
1995,40911,111855,0,1119,55480,40827,14429,0
1996,63285,167305,0,4015,27103,127821,8365,0
1997,38182,91739,183,3853,39540,35228,12935,0
1998,46078,92087,0,3960,50924,27074,10130,0
1999,58632,138646,0,2496,44644,85128,6378,0
2000,36322,87953,0,1231,19526,50221,16975,0
2001,57692,125550,0,251,39674,80101,5273,251
2002,65383,150269,0,1955,76252,60610,11452,0
