Year,commharv_inlet,commharv_yakbay,commharv_total,subharv_inlet,subharv_yakbay,subharv_total,sportharv_belowweir,sportharv_aboveweir,sportharv_total,allharv_total
1976,46406.74636,5010.5,51417.24636,1023.105949,102.3,1125.405949,0,0,466,53008.65231
1977,64258.72954,7100.5,71359.22954,1023.105949,102.3,1125.405949,0,0,497,72981.63549
1978,23978.23335,2699.5,26677.73335,1023.105949,102.3,1125.405949,0,0,578,28381.1393
1979,35454.72669,1754,37208.72669,1023.105949,102.3,1125.405949,0,0,145,38479.13264
1980,24826.87152,4727,29553.87152,1023.105949,102.3,1125.405949,0,0,818,31497.27747
1981,22215.9712,7200,29415.9712,1023.105949,102.3,1125.405949,0,0,292,30833.37714
1982,26198.73963,12395,38593.73963,1176.639595,102.3,1278.939595,0,0,419,40291.67922
1983,13282.65046,8946.5,22229.15046,997.6898771,102.3,1099.989877,0,0,274,23603.14034
1984,5659.019803,4606.5,10265.5198,1023.226632,102.3,1125.526632,0,0,346,11737.04643
1985,14051.51388,5832.5,19884.01388,450.5238339,102.3,552.8238339,0,0,61,20497.83772
1986,5168.915877,10978,16146.91588,755.2846752,102.3,857.5846752,0,0,306,17310.50055
1987,46487.945,12666.3154,59154.2604,861.849,102.3,964.149,0,0,1105,61223.4094
1988,40806.56287,7105,47911.56287,1067.385914,102.3,1169.685914,339.0474567,242.9525433,582,49663.24878
1989,64400.98958,12262,76662.98958,1571.887614,185.5,1757.387614,980.4413567,702.5586433,1683,80103.37719
1990,59296.92427,20927,80223.92427,1452.084218,96,1548.084218,817.3257418,585.6742582,1403,83175.00849
1991,97259.02743,14290.5,111549.5274,127.9265947,30,157.9265947,1243.174008,890.8259921,2134,113841.454
1992,75844.03855,15853,91697.03855,3371.949278,117,3488.949278,995.5878067,713.4121933,1709,96894.98783
1993,63463.42588,9569,73032.42588,2536.657126,83,2619.657126,3918.852648,2808.147352,6727,82379.08301
1994,45152.95526,7262,52414.95526,2904.745796,101,3005.745796,2066.907863,1481.092137,3548,58968.70106
1995,58083.64484,8656,66739.64484,2137.999947,111,2248.999947,2153.126117,1542.873883,3696,72684.64479
1996,87071.61932,8519.5,95591.11932,2859.32246,51.5,2910.82246,4447,1101,5548,104049.9418
1997,34621.0722,8787,43408.0722,2417.963519,57.5,2475.463519,4252,3869,8121,54004.53572
1998,29749.56003,3391,33140.56003,2779.892369,7.5,2787.392369,4977,4465,9442,45369.95239
1999,46880.72186,20869.5,67750.22186,2790.184296,39,2829.184296,4287,2933,7220,77799.40616
2000,26489.36232,12378.5,38867.86232,2777.091175,177.5,2954.591175,4621,5279,9900,51722.45349
2001,45350.61862,17022,62372.61862,2787.151642,67.5,2854.651642,3032,2641,5673,70900.27026
2002,65210.30581,8949.5,74159.80581,3497.14479,49.5,3546.64479,3046.484289,2612.515711,5659,83365.4506
2003,70362.85259,7179,77541.85259,2563.189567,83,2646.189567,5413.225788,7735.774212,13149,93337.04216
2004,22289.22755,11460,33749.22755,2795.2658,103.5,2898.7658,6082.574609,3466.425391,9549,46196.99335
2005,28587.5645,8922,37509.5645,1926.294369,95.5,2021.794369,3635.874913,2294.125087,5930,45461.35887
2006,55365.79339,17946.5,73312.29339,2285.294025,264.5,2549.794025,5520.893124,5217.106876,10738,86600.08742
2007,61000.13305,29801,90801.13305,3409.718655,161.5,3571.218655,5585.59881,2129.40119,7715,102087.3517
2008,10114.70283,7488,17602.70283,2284.732874,95.5,2380.232874,4442,1968,6410,26392.9357
2009,45750.32741,7711.5,53461.82741,3154.80877,171.5,3326.30877,3155.745457,3305.254543,6461,63249.13618
2010,66216.15146,7546,73762.15146,3438.084584,184.5,3622.584584,3081.253731,1590.746269,4672,82056.73604
2011,55272.40627,13806,69078.40627,2474.846171,197.5,2672.346171,6848.320364,3256.679636,10105,81855.75244
2012,51714.80888,11918,63632.80888,4028.790596,161.5,4190.290596,3430.74738,1998.25262,5429,73252.09948
2013,78425.89077,13418.5,91844.39077,3531.997221,58,3589.997221,4974.499786,3169.500214,8144,103578.388
2014,40765.68486,14835,55600.68486,3839.113279,279.5,4118.613279,7518.451464,3477.548536,10996,70715.29814
2015,38798.29751,6793,45591.29751,3445.541768,199,3644.541768,5238.235672,2914.764328,8153,57388.83927
2016,30639.34979,10415,41054.34979,2665.384935,148.5,2813.884935,4416.987271,2872.012729,7289,51157.23472
2017,47448.6963,15400.5,62849.1963,1954.55351,305.5,2260.05351,4982.650898,2103.349102,7086,72195.24981
2018,2633.709616,615.5,3249.209616,676.3612243,48.5,724.8612243,3112.01321,440.9867896,3553,7527.07084
2019,15342.96557,4218.5,19561.46557,1958.280019,86.5,2044.780019,3212,2326,5538,27144.24559
2020,13463.87385,1309.5,14773.37385,1686.244926,73.5,1759.744926,2727.765578,2116.234422,4844,21377.11877
2021,39562.47349,2968,42530.47349,1817.604337,110,1927.604337,6993.989088,4770.010912,11764,56222.07782
2022,26578.38756,2626,29204.38756,1853.006164,64,1917.006164,9128.835441,4367.164559,13496,44617.39372
2023,18968.85797,1540,20508.85797,1801.766677,35,1836.766677,4880.469458,5638.530542,10519,32864.62465
2024,27230.52648,2166.5,29397.02648,1975.980932,30.5,2006.480932,14417.47578,7882.52422,22300,53703.50741
