yr,lb,ub
1976,,
1977,,
1978,,
1979,,
1980,,
1981,,
1982,,
1983,,
1984,,
1985,,
1986,,
1987,80000,100000
1988,40000,55000
1989,40000,55000
1990,40000,55000
1991,40000,55000
1992,40000,55000
1993,40000,55000
1994,40000,55000
1995,30000,70000
1996,30000,70000
1997,30000,70000
1998,30000,70000
1999,30000,70000
2000,30000,70000
2001,30000,70000
2002,30000,70000
2003,30000,70000
2004,30000,70000
2005,30000,70000
2006,30000,70000
2007,30000,70000
2008,30000,70000
2009,30000,70000
2010,30000,70000
2011,30000,70000
2012,30000,70000
2013,30000,70000
2014,30000,70000
2015,30000,70000
2016,30000,70000
2017,30000,70000
2018,30000,70000
