"parameter","X0.","X2.5.","X5.","X50.","X95.","X97.5.","X100."
"lnalpha",0.929595108805805,1.54571312258474,1.62058089720524,2.01584719910217,2.37103083064573,2.44955946088119,2.78997916684601
"phi",-0.969996134184935,-0.600135946069299,-0.539365073581749,-0.204273080684496,0.145220170846624,0.222135968998735,0.694508478563995
"beta",0.0526912492470076,0.134715052022299,0.144968615272629,0.200095242216183,0.250213097010586,0.2595769555859,0.30677925937978
"sigma",0.240684416274102,0.302150357744974,0.313668983084241,0.387122708443067,0.489403982290603,0.516919801608268,0.786200189254095
"sigmaw",0.000642308499664068,0.0499945243474157,0.101986081012732,0.991610932082248,1.89317336802499,1.94442473526546,1.99992240957634
"Tau",1.61783308264474,3.74242997042088,4.17508199635426,6.67271698022871,10.1638172670506,10.9535217560211,17.2625145100971
"tauw",0.250019398734774,0.26449515788441,0.279009654623943,1.01699173616164,96.1431289394425,400.09881639897,2423888.63204328
"alpha",2.53348318489196,4.6913159202843,5.05602649617393,7.50708468350991,10.708425172179,11.583242856354,16.280680620329
"lnalpha.c",1.08724754746875,1.63676687298321,1.71030525284035,2.10000670929971,2.47353723106097,2.5526619991726,4.31151765544122
"e0",-0.71998710573299,-0.390000570588316,-0.324357592959788,0.00152663477768548,0.330940943180423,0.393498631834241,0.738424237861433
