"parameter","X0.","X2.5.","X5.","X50.","X95.","X97.5.","X100."
"lnalpha",0.87125583671163,1.23671102135751,1.29998249888536,1.58484112386296,1.85983728915661,1.90889887147348,2.32550123654245
"phi",-0.580085246568575,-0.230051008056285,-0.180042509551736,0.0976346025703651,0.387306656041742,0.455802168786044,0.898607845195939
"beta",0.0641346321888819,0.0942692820554085,0.100407252364514,0.133842144022435,0.165546374187194,0.171138345114143,0.211038497425977
"sigma",0.281482712977653,0.330832312917273,0.340502653114224,0.406172034705046,0.495620083052572,0.518398899372341,0.691759436814442
"sigmaw",0.000581481341574097,0.0553426160829563,0.110995517019182,1.00474066886275,1.89786718946205,1.94945061274048,1.99999177594343
"Tau",2.08972825695838,3.7211044305001,4.07101036594388,6.06149795397804,8.62499793880366,9.13659049542694,12.6210806997191
"tauw",0.250002056026824,0.263133126196271,0.277631260398579,0.990585661110147,81.1691947159566,326.498185280825,2957525.05498113
"alpha",2.38991030681909,3.44426669575902,3.6692326145727,4.87851624797509,6.42269167031037,6.74565687751446,10.2318073564383
"lnalpha.c",1.06004029731456,1.33727444201653,1.39367719055033,1.67404856357256,1.95669389038959,2.00837666869697,3.19858450018877
"e0",-0.757700563464982,-0.403358056077962,-0.331968818539005,0.00222624755650445,0.325979607691621,0.383474176539827,0.654886683282697
