"variable","point_estimate","Upper C.I.","converge"
"Tau",0.99989047742432,1.00012667341523,"true"
"alpha",1.00042078141203,1.00208789195776,"true"
"beta",1.00071991409098,1.00266805219903,"true"
"e[1]",1.00052729116364,1.00181236949875,"true"
"e[2]",1.00075845670302,1.00259561769003,"true"
"e[3]",1.00069632196031,1.00232057072207,"true"
"e[4]",1.0006203266607,1.00208086793384,"true"
"e[5]",1.00024017883815,1.00100698351106,"true"
"e[6]",1.00018379145507,1.00100116416341,"true"
"e[7]",1.0001235603957,1.00063912570854,"true"
"e[8]",1.00017423257806,1.00093652997252,"true"
"e[9]",1.0002024804178,1.00112782329326,"true"
"e[10]",1.00041899225168,1.00151088072366,"true"
"e[11]",1.00013679492745,1.00070587661684,"true"
"e[12]",1.00013219598675,1.0006815437181,"true"
"e[13]",1.00026931934192,1.00152279030953,"true"
"e[14]",1.00013007277585,1.0006612426744,"true"
"e[15]",1.00012419021152,1.00064205211416,"true"
"e[16]",1.00014803289934,1.00072310583659,"true"
"e[17]",1.00012562526719,1.00064503720337,"true"
"e[18]",1.00016830148376,1.00089708799329,"true"
"e[19]",1.00012012828674,1.00062382522565,"true"
"e[20]",1.00027333622193,1.00154289013758,"true"
"e[21]",1.00017971150948,1.00097346659022,"true"
"e[22]",1.00030550383813,1.00169124604143,"true"
"e[23]",1.00024702031925,1.00140392821129,"true"
"e[24]",1.00018024433632,1.00097707675777,"true"
"e[25]",1.00031735963225,1.00174094116645,"true"
"e[26]",1.00018301521815,1.00099588638151,"true"
"e[27]",1.00014454415036,1.0007492340267,"true"
"e[28]",1.00013626004226,1.00068307818911,"true"
"e[29]",1.00030103848567,1.00167188460771,"true"
"e[30]",1.00012756657332,1.00065822166413,"true"
"e[31]",1.00013791100966,1.00068879732689,"true"
"e[32]",1.00019329372444,1.00106582324312,"true"
"e[33]",1.00036198041705,1.00190892972533,"true"
"e[34]",1.00015488448279,1.00074573628563,"true"
"e[35]",1.00020774030767,1.00116280869101,"true"
"e[36]",1.00019472140735,1.00087128357747,"true"
"e[37]",1.00017422481955,1.00093647795954,"true"
"e[38]",1.00061241762479,1.00205735095359,"true"
"e[39]",1.000418097077,1.00150840214886,"true"
"e[40]",1.00027217807203,1.00109964621336,"true"
"e[41]",1.00022576558517,1.00127835679574,"true"
"e[42]",1.00017730866112,1.00081743494751,"true"
"e[43]",1.0003722869086,1.0019441164439,"true"
"e0",1.00005306272405,1.00022314086275,"true"
"lnalpha",1.00048316761737,1.00226163173214,"true"
"lnalpha.c",1.00057023817597,1.00246677520988,"true"
"phi",1.00034573602653,1.0019144059454,"true"
"sigma",1.00005362234264,1.00038945496709,"true"
"sigmaw",1.00035643546802,1.00184473654098,"true"
"tauw",1.25410182653183,1.26286551418519,"false"
