"variable","X2.5","X50","X97.5","post_cv"
"lnalpha",1.46813877477912,1.91192251403499,2.35711467163935,0.117676287473272
"lnalpha.c",1.55111306463038,1.99112322872289,2.44639407357942,0.113362583384991
"beta",0.12622956043725,0.18840230530442,0.250468299626748,0.166019256092576
"beta1",1.2622956043725e-05,1.8840230530442e-05,2.50468299626748e-05,0.166019256092576
"alpha",4.34114841862173,6.76608421744029,10.5604379293885,0.228707992397818
"alpha.c",4.71671727304316,7.32375540558699,11.5466353158542,0.231937794326982
"Smsy_lambert",31367.9077944891,37307.2644994199,47375.091831379,0.10880550935388
"Smsy_lambert.c",31956.5528858807,38229.3134129618,49318.347113767,0.115708016910206
"Umsy_lambert",0.586073014635335,0.701830235813624,0.79111987297502,0.0746009877902575
"Umsy_lambert.c",0.609860963944977,0.719596737880813,0.806080729774494,0.0692191819295339
"Smax",39925.2141765277,53077.906821815,79220.7464362485,0.188181776112925
"Rmsy.c",114459.31144328,137796.264599538,172917.113426569,0.107124712161796
"Rmsy",103933.068937956,126542.129749053,156808.781403038,0.104927572464954
"Seq",91254.9116321285,101813.853975526,120555.031999315,0.074495586752506
"MSY",62675.2848233595,88551.819173776,123321.962529449,0.171626788439749
"MSY.c",71956.3360751467,98914.9380694426,138157.428036187,0.168537028581197
"Rmax.c",123963.475041573,145139.020703435,177490.511564864,0.0927540176031329
"Rmax",114615.931691033,134236.741643918,161304.289319096,0.0878871520593415
