"","variable","0","2.5","5","50","95","97.5","100","mean","sd","post_cv"
"1","lnalpha",0.990237072975745,1.46813877477912,1.54835507568622,1.91192251403499,2.28128842084242,2.35711467163935,2.96574490130177,1.91527544469227,0.225382503820106,0.117676287473272
"2","lnalpha.c",1.08056484221583,1.55111306463038,1.63012540245494,1.99112322872289,2.36651042926812,2.44639407357942,3.07936450971701,1.99542854723932,0.226206935075209,0.113362583384991
"3","beta",0.0535743330232912,0.12622956043725,0.137277601597988,0.18840230530442,0.239354061145077,0.250468299626748,0.327419294817608,0.188138922263707,0.0312346839162798,0.166019256092576
"4","beta1",5.35743330232912e-06,1.2622956043725e-05,1.37277601597988e-05,1.8840230530442e-05,2.39354061145077e-05,2.50468299626748e-05,3.27419294817608e-05,1.88138922263707e-05,3.12346839162798e-06,0.166019256092576
"5","alpha",2.69187256694855,4.34114841862173,4.70372659145522,6.76608421744029,9.78928501073799,10.5604379293885,19.4091557633463,6.96340507025534,1.59258639387089,0.228707992397818
"6","alpha.c",2.94634330022169,4.71671727304316,5.10451480922061,7.32375540558699,10.6601286310479,11.5466353158542,21.744579535513,7.54719204093098,1.75047907533568,0.231937794326982
"7","Smsy_lambert",26762.3303468488,31367.9077944891,32229.1203607366,37307.2644994199,45121.0549672513,47375.091831379,89769.5733225073,37805.2673865182,4113.42137424974,0.10880550935388
"8","Smsy_lambert.c",27127.6665722092,31956.5528858807,32855.0713859838,38229.3134129618,46696.2890118522,49318.347113767,99490.7915644718,38819.1891364056,4491.6913930357,0.115708016910206
"9","Umsy_lambert",0.429316521529636,0.586073014635335,0.6090863873234,0.701830235813624,0.77767471204795,0.79111987297502,0.876250332984112,0.699154418829268,0.0521576102625868,0.0746009877902575
"10","Umsy_lambert.c",0.461533971821195,0.609860963944977,0.631583692190033,0.719596737880813,0.792738138243959,0.806080729774494,0.888212145911994,0.71714340038746,0.0496400795009841,0.0692191819295339
"11","Smax",30541.8775199873,39925.2141765277,41779.1123083318,53077.906821815,72845.0955199286,79220.7464362485,186656.546814172,54782.1416909607,10309.0007226749,0.188181776112925
"12","Rmsy.c",91869.21171313,114459.31144328,117753.264330186,137796.264599538,165697.655164039,172917.113426569,242670.966300621,139291.21799965,14921.5316348784,0.107124712161796
"13","Rmsy",83340.5910978553,103933.068937956,107580.587334407,126542.129749053,150984.568569337,156808.781403038,216261.83724125,127540.309921242,13382.4951114639,0.104927572464954
"14","Seq",84801.1614589314,91254.9116321285,92753.2006826383,101813.853975526,116246.326066632,120555.031999315,212164.97532249,102826.34764185,7660.10910119679,0.074495586752506
"15","MSY",38302.7113688075,62675.2848233595,66222.871254238,88551.819173776,116781.173278049,123321.962529449,189499.506894401,89735.042534724,15400.937160739,0.171626788439749
"16","MSY.c",46915.7487301815,71956.3360751467,75787.3625529699,98914.9380694426,130626.665947224,138157.428036187,215543.299728412,100472.028863244,16933.2572001354,0.168537028581197
"17","Rmax.c",104804.038620036,123963.475041573,127308.659347852,145139.020703435,170499.788742835,177490.511564864,250571.498120519,146531.213789562,13591.3587832455,0.0927540176031329
"18","Rmax",96897.63703931,114615.931691033,117526.506797676,134236.741643918,156075.909132282,161304.289319096,218076.011061194,135194.299354965,11881.841944966,0.0878871520593415
