"parameter","X0.","X2.5.","X5.","X50.","X95.","X97.5.","X100."
"lnalpha",0.845983632463477,1.48932073849558,1.56904074172649,1.9390508563689,2.29747670241843,2.36864933306629,2.83207318857794
"phi",-0.9998568743467,-0.951040433485163,-0.904662758911226,0.0126043346274186,0.912687840261885,0.957711952249274,0.999528223640392
"beta",0.031532469706145,0.126494580799461,0.136842728381339,0.189266234108989,0.239271256621369,0.249145106168653,0.305730894320905
"sigma",0.260690520569676,0.304947925989223,0.316522371152988,0.389123234445878,0.493029780638195,0.520732994077342,0.757290216557899
"sigmaw",0.000478951726220304,0.053155825846632,0.103897943046218,1.00120162742692,1.90398340388294,1.95315858194445,1.99983460968356
"Tau",1.74371421337926,3.6878207941859,4.11389974730934,6.60428298021476,9.98139354459955,10.7534701127663,14.714635935163
"tauw",0.250041352708541,0.262134985664077,0.275850442003242,0.997601069942319,92.637552946139,353.914574979399,4359297.55859202
"alpha",2.33026881568972,4.43408261748604,4.80203962807705,6.95214926839113,9.94904636483431,10.6829535026069,16.9806284022844
"lnalpha.c",0.933922595417053,1.57840020831293,1.65234622838172,2.01429405883349,2.38414462111056,2.45715934805541,3.01830484780832
"e0",-0.768590044921995,-0.384341488162166,-0.322131247209887,0.000687821991248838,0.329532252523108,0.385992887423806,0.786479978657579
