"","Tau","alpha","beta","lnalpha","lnalpha.c","phi","sigma","sigmaw","tauw"
"Lag 0",1,1,1,1,1,1,1,1,1
"Lag 10",0.0156806083235179,-0.016934026225136,-0.00243473334571332,-0.0139388203595691,0.0182683057607603,0.0395400409028109,0.0750279165918283,-0.0549200826616878,-0.0618765227029839
"Lag 50",-0.0920078227497128,0.00577340174340875,-0.0711746185299244,0.0325932905494486,0.0213605545330248,-0.0126403696403155,-0.0829617179116658,-0.10631047049393,0.0878165113366346
"Lag 100",-0.124224899125284,0.0114791064500225,-0.0567967479964114,0.0320677285398325,-0.0419785177548528,-0.145837119483983,-0.137543280044175,0.0345745410862635,-0.00184998403252813
