"","variable","chain1","chain2","chain3"
"1","Tau",-1.83957847456036,1.52995092386069,-1.14389342091868
"2","alpha",-1.69110100490185,-2.72282918464552,-0.377326110042908
"3","beta",-2.31752939131375,-1.21865337752502,0.094591306672997
"4","lnalpha",-1.83429985149988,-2.48455039064322,-0.380359472891968
"5","lnalpha.c",-1.65380252560709,-2.71859743395569,-0.31644340592603
"6","phi",1.42501030543311,-0.492953076159616,-0.0728582830841679
"7","sigma",1.25573916584115,-1.59163944776046,0.957393259016808
"8","sigmaw",-0.72639136061883,0.796965862833077,0.0571522126933538
"9","tauw",-0.982554657170524,-0.0453899030447977,-0.81697570567292
