"variable","X2.5","X50","X97.5","post_cv"
"lnalpha",1.27853273569619,1.59003412742374,1.89545089134302,0.0988765548487349
"lnalpha.c",1.37166283716734,1.67208508008955,1.99575223673682,0.0945452048776587
"beta",0.0993430808211103,0.136050931249419,0.172120671429789,0.136603335248018
"beta1",9.93430808211103e-06,1.36050931249419e-05,1.72120671429789e-05,0.136603335248018
"alpha",3.59136642729599,4.9039162937464,6.65554866418245,0.15858414360464
"alpha.c",3.94190001798557,5.32325564969837,7.35773570579965,0.160878074041017
"Smsy_lambert",39876.7158088328,45646.6872659795,54508.3542845113,0.0815633935672055
"Smsy_lambert.c",41130.4374892476,47263.1134852261,57285.0074861798,0.0870587073937461
"Umsy_lambert",0.527921896113175,0.620674231285435,0.698028442903844,0.0700056774941693
"Umsy_lambert.c",0.557146521464522,0.642754110823664,0.720609041966806,0.064776014301217
"Smax",58098.7743098881,73501.8857192344,100661.265316301,0.145819266796438
"Rmsy.c",114738.050297315,133346.612678832,157027.906922805,0.0808594894465333
"Rmsy",103544.239822744,121258.564497685,141721.124180171,0.079297785003845
"Seq",105683.736063289,117197.166436793,134631.973734764,0.0633225773928422
"MSY",56643.3221362522,75059.9727916739,97287.9167960627,0.138117778336003
"MSY.c",65861.4982738757,85371.1902788045,110961.144716142,0.134321648750174
"Rmax.c",129203.484469018,145490.168256158,167346.692104474,0.0677465145233596
"Rmax",118582.995993568,134091.826573592,152186.499218563,0.0637293891181735
