"parameter","X0.","X2.5.","X5.","X50.","X95.","X97.5.","X100."
"lnalpha",1.15268180983216,1.31038750769576,1.33614703375568,1.56961176928397,1.84511182226814,1.9233764960146,2.02467814362996
"phi",-0.997003673575121,-0.947863431495582,-0.920768961054834,0.0409533706683274,0.841323154450861,0.915877494273623,0.994278127919128
"beta",0.0895898161027338,0.102732223359312,0.104807308481962,0.133703818990688,0.165294107245905,0.1693885259196,0.182837859585158
"sigma",0.304945891585607,0.324106395128163,0.330676411024419,0.397717274477828,0.46407342657293,0.505204139510376,0.568188958430466
"sigmaw",0.00151064805721646,0.0241520878333021,0.0574817902709896,0.86606499456476,1.86121768607677,1.90868660923441,1.95993381659857
"Tau",3.09752214739512,3.91851389694708,4.6432992535841,6.32197709779935,9.14522454257201,9.52091645892272,10.7536135846736
"tauw",0.260325785481021,0.274511388461689,0.288676838762406,1.33324939548029,303.113784403501,1715.04667910295,438201.043082968
"alpha",3.16667394967199,3.7076254395524,3.80442878583448,4.80478922279913,6.32930433894135,6.84403820129511,7.57367291743753
"lnalpha.c",1.24686541503356,1.38207639254863,1.41340363307003,1.64809915563248,1.9340864629634,2.01910650266322,2.0977937744678
"e0",-0.526526538726515,-0.418736156612229,-0.322999962173081,-0.0339948326597255,0.299261188398607,0.328478179785113,0.410657700309478
