"variable","point_estimate","Upper C.I.","converge"
"Tau",1.02633007063854,1.06432335811941,"false"
"alpha",1.00178626507716,1.03043018814099,"true"
"beta",1.0028045126532,1.03106947504907,"true"
"e[1]",1.00726972926096,1.04118956112381,"true"
"e[2]",1.00375699170136,1.03241072346469,"true"
"e[3]",1.00516901368909,1.03557650411989,"true"
"e[4]",1.00619256938619,1.03820508665834,"true"
"e[5]",1.01037905107274,1.05124815044901,"false"
"e[6]",1.00852824435336,1.05333473989503,"true"
"e[7]",1.01121259585487,1.05841046820056,"false"
"e[8]",1.00894743890038,1.05437042940728,"true"
"e[9]",1.00775076684049,1.05126910275914,"true"
"e[10]",1.00844405222882,1.04469263834137,"true"
"e[11]",1.01061067962474,1.05774626788521,"false"
"e[12]",1.01081364387465,1.05803167261044,"false"
"e[13]",1.00566333414702,1.0448903663602,"true"
"e[14]",1.01156985466396,1.05703579224219,"false"
"e[15]",1.01118132023072,1.0583938181735,"false"
"e[16]",1.01140278820938,1.05579172345473,"false"
"e[17]",1.011595496847,1.05741565916339,"false"
"e[18]",1.00921141234087,1.05499146247834,"true"
"e[19]",1.01141006360451,1.05841670387285,"false"
"e[20]",1.00557007834766,1.04457737551563,"true"
"e[21]",1.00870592376797,1.0537808228522,"true"
"e[22]",1.00491951242777,1.04232074809407,"true"
"e[23]",1.00624004406442,1.04677132774233,"true"
"e[24]",1.00868260116958,1.05372285222067,"true"
"e[25]",1.00471638197638,1.04158794473862,"true"
"e[26]",1.00856188045598,1.05341996506775,"true"
"e[27]",1.01026970008735,1.05718132298399,"false"
"e[28]",1.01151891199657,1.05657053943517,"false"
"e[29]",1.00500065827501,1.04260954016357,"true"
"e[30]",1.01102189107736,1.05826845709691,"false"
"e[31]",1.01150371431141,1.05645443578979,"false"
"e[32]",1.0081243415626,1.05228400612335,"true"
"e[33]",1.00408471239396,1.0392071113731,"true"
"e[34]",1.01133007213994,1.05537824900792,"false"
"e[35]",1.00754569787582,1.05069510832701,"true"
"e[36]",1.0108872530044,1.05328400222791,"false"
"e[37]",1.00894778278803,1.05437125470438,"true"
"e[38]",1.00628898306146,1.03846348547522,"true"
"e[39]",1.00845363361366,1.04472238882119,"true"
"e[40]",1.0100260506617,1.04994494042435,"false"
"e[41]",1.00689690038114,1.0488029133521,"true"
"e[42]",1.01108262380235,1.0541493922576,"false"
"e[43]",1.00396325545765,1.03872845514469,"true"
"e0",1.01244972347838,1.05016173675467,"false"
"lnalpha",1.00304919500867,1.03475934710446,"true"
"lnalpha.c",1.00035417214365,1.0268958956322,"true"
"phi",0.999554623805901,1.01272883888585,"true"
"sigma",1.0086514376564,1.02389832589408,"true"
"sigmaw",1.00183021510484,1.02381901621523,"true"
"tauw",1.20731556457305,1.47977075983751,"false"
