"","variable","0","2.5","5","50","95","97.5","100","mean","sd","post_cv"
"1","lnalpha",1.06240393056901,1.23298356422749,1.2885725709223,1.58299852233015,1.86235174159243,1.8996672458961,1.97894293515479,1.57886640671533,0.172937733858662,0.109532847822408
"2","lnalpha.c",1.14499934561665,1.31174669540541,1.37671194419312,1.67114782362639,1.95305922225002,1.98484192539698,2.07779237586208,1.66111304030114,0.174739331181467,0.105194124025291
"3","beta",0.0747031154484973,0.0926898891764001,0.0998337314290238,0.134303708270293,0.167336659791548,0.171720524790571,0.178159356072287,0.134086386296303,0.0202973768324963,0.151375373691132
"4","beta1",7.47031154484973e-06,9.26898891764002e-06,9.98337314290238e-06,1.34303708270293e-05,1.67336659791549e-05,1.71720524790571e-05,1.78159356072287e-05,1.34086386296303e-05,2.02973768324963e-06,0.151375373691132
"5","alpha",2.89331797140843,3.43149261667517,3.62795582781091,4.8695356622957,6.43897026247661,6.68373710817975,7.23509098121319,4.92085236514471,0.836444012535863,0.169979497548138
"6","alpha.c",3.14243930047855,3.71265423082396,3.96197094478208,5.31827312990623,7.05040464231656,7.27790490409641,7.98681754647157,5.34451554394655,0.921398592506036,0.172400769523377
"7","Smsy_lambert",39198.9987181544,40333.0830287962,40747.9406737023,45988.011538032,53795.6517851836,57519.4367309485,60928.2805124546,46486.9228833967,4198.88130814723,0.0903239244008318
"8","Smsy_lambert.c",40343.0529067407,41481.1560153461,41770.15628672,47496.5041546489,56665.8987562691,61048.6453933735,64760.2190365234,48214.3109772686,4668.73901873709,0.0968330548359023
"9","Umsy_lambert",0.455153237320033,0.513159502450242,0.531119791728025,0.618735795337127,0.690274153274306,0.699003774701216,0.716919382111702,0.615444858573231,0.0485869911267736,0.078946132135073
"10","Umsy_lambert.c",0.483779011915538,0.538491570665104,0.558689989727224,0.642507231002852,0.71116029362024,0.718218372642711,0.738079213463376,0.637687838086204,0.0469398778314523,0.0736094920240691
"11","Smax",56129.5248280004,58234.2002617199,59759.7738831735,74458.3382636253,100211.146552943,107918.50795116,133863.225649462,76469.7234005389,12914.8016837748,0.168887778188089
"12","Rmsy.c",107566.296266781,112882.649202873,116232.943976652,133183.086628608,151176.643750195,156131.526624279,173417.992491872,134034.795480017,11174.8056822802,0.0833724231253535
"13","Rmsy",96109.4072942204,102496.643810313,107908.493512436,120874.730426675,136764.47765138,140075.756116089,154188.307848624,121747.144721851,9815.31080005473,0.0806204599087662
"14","Seq",105814.965615141,106463.971662947,107354.945408042,117590.015445636,134445.812184577,140112.539289735,149646.401555704,118707.152948417,8116.56858053924,0.0683747219855084
"15","MSY",45247.1079573945,54400.6747455616,58495.6412352809,74723.5268382273,92477.2691462787,96014.9119727759,102554.975808692,75260.2218384541,10971.2907461665,0.145778081410873
"16","MSY.c",53313.7498210691,62330.0527892165,67245.2189841727,84930.9870170929,105866.001173123,109135.104811109,117576.876760738,85820.4845027481,12224.4812401171,0.142442463602331
"17","Rmax.c",123420.994595753,128082.007427148,130518.786985688,145412.989649957,162802.304206995,165347.839824634,185362.662305438,146549.072503761,10090.3013040401,0.0688527135085151
"18","Rmax",115385.603562897,119767.191727316,121564.264957111,134543.622533615,147264.6626482,149945.351215311,166997.878862111,134932.881050528,8575.9477539359,0.0635571380909332
