"lnalpha","lnalpha.c","beta","beta1","alpha","alpha.c","Smsy_lambert","Smsy_lambert.c","Umsy_lambert","Umsy_lambert.c","Smax","Rmsy.c","Rmsy","Seq","MSY","MSY.c","Rmax.c","Rmax"
1.50561760205873,1.57637588491255,0.12346489668795,1.2346489668795e-05,4.5069362640351,4.83739273715698,48349.1457466508,49965.9928019325,0.596942228456089,0.616904613920147,80994.6816322566,130427.028404664,119955.870250187,121947.018338668,71606.724503536,80461.0356027311,144136.299839935,134289.926828275
1.59544631414509,1.66717657781294,0.143180391818753,1.43180391818753e-05,4.93052914602121,5.29719045838616,43452.9129557196,44800.8554305754,0.622160510266609,0.641460403436508,69841.9656000011,124953.717413585,115003.630209168,111429.10658917,71550.7172534482,80152.8619830095,136102.956616897,126682.172319648
1.45118443832118,1.51855139629825,0.122902975290252,1.22902975290252e-05,4.26816690289833,4.56560664778272,47280.2712008277,48871.5208267644,0.581088600311173,0.600645531656886,81364.9952442864,122376.29650052,112864.608688014,118075.614922585,65584.3374871864,73504.7756737555,136660.061990228,127756.944155055
1.59513694659151,1.69222955376711,0.146760668151933,1.46760668151933e-05,4.92900403620333,5.43157720864473,42387.0833066704,44155.3899901046,0.62207566670986,0.648027453745694,68138.1471338598,125451.233228292,112157.592335101,108689.675965508,69770.5090284305,81295.843238187,136151.300846299,123553.488356504
1.73558432947717,1.85240774360764,0.160034956657194,1.60034956657194e-05,5.67224129341524,6.37515078687331,41189.8069547361,42985.4900858961,0.659180897071939,0.687918104278463,62486.3480384519,137737.852388115,120855.335281574,108450.326461794,79665.528326838,94752.3623022185,146548.414036965,130390.322264468
1.76983447098052,1.83829845371258,0.154607035475501,1.54607035475501e-05,5.86988164520804,6.28583351961425,43193.6415289688,44276.666124808,0.667804086818536,0.684548409029511,64680.1096033213,140359.62218035,130024.602395918,114473.087562757,86830.9608669495,96082.9560555418,149568.156156699,139670.796528779
1.54824403148148,1.61519036818895,0.135930597895444,1.35930597895444e-05,4.70320424875792,5.0288451644982,44806.3341620226,46166.7000142469,0.609055179214679,0.627546713579619,73566.9536868502,123952.99410015,114610.379214173,113899.59695994,69804.0450521506,77786.2940859028,136099.507947159,127286.43716252
1.44305348445967,1.55125163549023,0.114993709380587,1.14993709380587e-05,4.23360334251814,4.71737091789695,50323.0322779882,53037.6709648231,0.578683214892487,0.609899852115206,86961.2786113689,135959.11524875,119442.267806033,125489.776113204,69119.2355280443,82921.4442839269,150914.670586956,135438.333120686
1.47310367696478,1.55459308580289,0.133827446409639,1.33827446409639e-05,4.36275473135232,4.73316014319044,43901.6601250646,45643.6075173288,0.587524706768129,0.610836743896793,74723.087589899,117286.528986241,106434.641893534,110074.855082842,62532.9817684692,71642.9214689124,130110.254298809,119928.147446319
1.6895762616098,1.76066258279631,0.150565417426732,1.50565417426732e-05,5.41718474957811,5.81628989158301,42993.6837605592,44200.7923235149,0.647336194212149,0.66551107467823,66416.3137253362,132144.262417642,121911.245370109,112215.427053957,78917.5616095499,87943.4700941268,142110.553112097,132359.138802045
1.83583045401548,1.95330324052001,0.16568918381551,1.6568918381551e-05,6.27033921222946,7.05194341486888,41279.4687622237,42924.8572945149,0.683956148755067,0.71121845705254,60353.9698230075,148641.276919573,130613.105110633,110799.655821808,89333.6363484092,105716.419625058,156574.191681893,139220.245536295
1.4628305546118,1.52705712897322,0.122243234803273,1.22243234803273e-05,4.3181650479921,4.60460610176713,47815.897007614,49333.4186476794,0.584516992523087,0.603067667939643,81804.1179627903,124286.722604844,115085.084461056,119665.563249038,67269.1874534418,74953.3039571644,138571.260999333,129951.088687884
1.73775742508469,1.81109352750948,0.169148450666492,1.69148450666492e-05,5.68458101890036,6.11713302936893,39003.1912111034,40081.5469243713,0.659732936440708,0.677973156257369,59119.6665449623,124466.477572302,114625.23231934,102735.639507039,75622.0411082363,84384.9306479303,133040.975045798,123633.440347032
1.59008648212439,1.64177186819027,0.136648653045368,1.36648653045368e-05,4.90417303328992,5.16431189026136,45422.2281393731,46448.281070413,0.620688629356474,0.634709504454461,73180.3773922305,127154.365188301,119749.186696701,116363.128848147,74326.9585573278,80706.0841178882,139031.31350981,132027.970615691
1.56612251833371,1.6294877705763,0.126336470731094,1.26336470731094e-05,4.78804659052136,5.10126103319145,48604.8863657176,49978.6000941721,0.614056980373065,0.631411994797844,79153.707097651,135594.754546504,125937.98538629,123964.403095222,77333.0990205724,85616.1544523324,148543.729874689,139423.231773903
1.62383546648338,1.73406002447775,0.139170042273306,1.39170042273306e-05,5.07250849018287,5.66360165404938,45260.2736145938,47337.290638256,0.629887419224442,0.658793273922986,71854.544531658,138734.928184187,122287.855008204,116679.957838516,77027.5813936107,91397.6375459306,149710.568271414,134085.724069928
1.60090839691623,1.69857249235527,0.129794783524224,1.29794783524224e-05,4.9575337879783,5.46613886467071,48049.4041826977,50054.0848081293,0.623656201436121,0.649675910217431,77044.6987812391,142879.36875593,127674.228633641,123341.505216768,79624.8244509436,92825.2839478011,154927.652429518,140512.176991275
1.70143926230898,1.77419143150133,0.136801415172027,1.36801415172027e-05,5.48183151018572,5.89551228309095,47544.761955992,48894.9038218027,0.650419071959686,0.668889203752276,73098.6590118607,147669.313039317,136005.022420757,124372.928464916,88460.2604647651,98774.4092175146,158539.132171664,147414.63822046
1.74153179412657,1.84387162171625,0.166873844680261,1.66873844680261e-05,5.70607726738218,6.32096332709351,39592.1942235574,41101.87137928,0.660690166941265,0.685882730061405,59925.5085130956,130848.81129686,116684.488234987,104362.178354759,77092.2940114297,89746.9399175797,139347.928424124,125792.542290117
1.61450602175785,1.69078601431045,0.143385795915454,1.43385795915454e-05,5.02540486956838,5.42374216908706,43753.3550266327,45168.4555030728,0.627360963446517,0.647651494257988,69741.9150631655,128192.555855891,117414.845828566,112598.741838405,73661.4908019335,83024.1003528186,139154.874127018,128934.886700155
1.49156146242081,1.57075799005426,0.123808247894149,1.23808247894149e-05,4.44402928891589,4.8102929664766,47887.7534507942,49701.5563658154,0.592889885032983,0.615346261126391,80770.0631427203,129211.161475663,117628.503174562,120473.513500977,69740.7497237682,79509.6051098476,142931.340882174,132048.311737166
1.5393113794278,1.6110401431785,0.13442936873917,1.3442936873917e-05,4.66137924388321,5.00801757500938,45119.5105837188,46598.3884116817,0.606538732558962,0.626419193844503,74388.5067213456,124734.428653398,114673.321918479,114507.074894809,69553.81133476,78136.0402417161,137049.420387138,127563.315026432
1.73135951056222,1.80371468270091,0.152142296631623,1.52142296631623e-05,5.64832765208051,6.0721617760683,43255.9356901739,44443.3924043637,0.658105739885284,0.67617197905003,65727.9416795757,137243.8131635,126518.46122149,113798.696936612,83262.5255313166,92800.4207591363,146824.619473918,136576.327964323
