"beta","e0","lnalpha","sigma"
0.12346489668795,-0.429325070468342,1.57637588491255,0.376186876043857
0.143180391818753,-0.166282528515669,1.66717657781294,0.378761834581713
0.122902975290252,0.370392085540052,1.51855139629825,0.367061188297167
0.146760668151933,-0.268014415487377,1.69222955376711,0.440664514513271
0.160034956657194,0.313868834773375,1.85240774360764,0.483370280696833
0.154607035475501,0.136217128431324,1.83829845371258,0.370037789237945
0.135930597895444,-0.0601638630235274,1.61519036818895,0.365913478044922
0.114993709380587,-0.0743000806954351,1.55125163549023,0.465184159297281
0.133827446409639,0.183148747382476,1.55459308580289,0.403706350799945
0.150565417426732,-0.0387250285127097,1.76066258279631,0.377057876688744
0.16568918381551,-0.105903946678996,1.95330324052001,0.484711845336026
0.122243234803273,-0.128843310237669,1.52705712897322,0.358403611481307
0.169148450666492,-0.229566128670925,1.81109352750948,0.38297807358851
0.136648653045368,-0.0311664581837102,1.64177186819027,0.321513253430938
0.126336470731094,0.198260226717461,1.6294877705763,0.355992281496641
0.139170042273306,-0.152127988963716,1.73406002447775,0.469520091144924
0.129794783524224,0.000800235641905678,1.69857249235527,0.44195949008713
0.136801415172027,-0.421664359082966,1.77419143150133,0.381450309194664
0.166873844680261,0.00448768377453131,1.84387162171625,0.452415356922551
0.143385795915454,-0.22299648658481,1.69078601431045,0.390589279301411
0.123808247894149,0.113917313312303,1.57075799005426,0.397986250097796
0.13442936873917,-0.0154384848688288,1.6110401431785,0.378757874507432
0.152142296631623,0.031412585363483,1.80371468270091,0.380408128563757
0.144114407571443,-0.031019981283645,1.79046166192544,0.47214163754943
0.111915692752018,-0.284481208865763,1.39663946693602,0.497421261943712
0.133835885858695,0.0260670153318908,1.6087305675469,0.358222428207809
0.125062356215812,-0.333532359760214,1.69677448833124,0.52004363378238
0.142167969660512,-0.410971601760389,1.58321639272638,0.413094046972703
0.141787319023271,0.0097330530905993,1.6188478805669,0.444945520522975
0.121303283980392,-0.32662409117716,1.61832640658275,0.380824904256209
0.114851458166618,0.0245336751977888,1.48584700770138,0.383860741269403
0.13474883297348,-0.337726624278367,1.70791511641925,0.485030379353303
0.149851774610475,-0.0346553371823637,1.80505628107964,0.30498516509566
0.116463582835554,0.00597484280704252,1.53083520523513,0.305044882331096
0.102602502233953,0.0595405591201403,1.39928733352479,0.411467111383048
0.141091061014736,0.423771692834437,1.66260458595365,0.345723641346536
0.134938693249964,-0.326242073161327,1.65497058567141,0.356575889648346
0.117192633841169,-0.184603398160771,1.55911971678103,0.473132345643506
0.174243246004925,0.0406751420773913,1.93225848683809,0.487945598451681
0.119594052313374,-0.0637542937071373,1.59558108643469,0.363019720358333
0.136211922192239,0.0887937062345748,1.86415266223976,0.47164591984043
0.147611756508017,0.327129651164432,1.83514879437679,0.35482117693937
0.133592972575454,0.141044079643144,1.59539153915421,0.417404362879087
0.154439088404915,-0.472270861505644,1.74578151916399,0.412323574424845
0.116811197811151,-0.0540276605979916,1.58610436283322,0.369515058950456
0.136352921999666,-0.0775267786850539,1.64491041159708,0.392575021233911
0.114052194975469,0.0529898134894154,1.54280903289029,0.422927524658594
0.105153773892669,-0.133419195612355,1.31664809662973,0.4163089586546
0.143075188763193,0.157173263915554,1.75781461174318,0.421272635140675
0.142538865212501,0.0416601342230265,1.66964195731858,0.419108454590372
0.113676613145056,0.0181017065038184,1.59971506128632,0.487339092174412
0.142376316137663,-0.0426821402109518,1.70220030166807,0.417986223826075
0.142625741070753,-0.0373292324803151,1.73172745483652,0.414567625363472
0.16866009187577,-0.023078493304621,1.8938381377851,0.364498967245547
0.14676261237609,-0.012770875529223,1.75459058707489,0.400481915947179
0.146340116544203,0.164414597946191,1.79705917148411,0.476176894558776
0.103662606814697,-0.268029274849282,1.34433957332007,0.373952065149223
0.13392171489636,0.0341427858293467,1.75304509074703,0.419925938551951
