"","variable","chain1","chain2","chain3"
"1","Tau",-0.0363903623728456,-0.459407428679884,0.40841848523416
"2","alpha",-0.295892517671618,0.11631315142897,-1.69450499437866
"3","beta",0.0925522756662014,0.138419374350312,-1.3878975484584
"4","e[1]",0.651468649074265,0.17420271776647,1.21735544483373
"5","e[2]",0.813038620445017,0.356809962327468,-0.193619242892934
"6","e[3]",0.86213820934641,0.384812740030594,0.224284063971121
"7","e[4]",0.787647083838667,0.443394871414514,-0.315047504885012
"8","e[5]",0.820962080764086,0.367307225062272,-0.144888382142582
"9","e[6]",0.867147996726038,0.295735831422997,0.773974135723851
"10","e[7]",0.842776416053553,0.381611195122946,0.109414465573677
"11","e[8]",0.638306636638693,0.16826555353624,1.22424929586949
"12","e[9]",0.844159855458654,0.275644715534151,0.876543027658115
"13","e[10]",0.480254692447247,0.125492686742142,1.26490510920558
"14","e[11]",0.724238543705272,0.209744882831373,1.16874473873521
"15","e[12]",0.842918550735844,0.274703955153071,0.88106521756406
"16","e[13]",0.453980337760047,0.111650280153219,1.27491820444672
"17","e[14]",0.836249693433673,0.269818022556558,0.904195561247615
"18","e[15]",0.810130818741686,0.38031887579913,0.522956431876787
"19","e[16]",0.803441674218133,0.353051363446921,-0.244200761771541
"20","e[17]",0.494343268838523,0.13095599629423,1.26054577128871
"21","e[18]",0.870495877604228,0.385543536563021,0.288265050421046
"22","e[19]",0.80106595552668,0.444393865557142,-0.255694105656193
"23","e[20]",0.909606777013666,0.269620679622842,0.984314205294342
"24","e[21]",0.366723577387159,0.066840635473716,1.29754965020338
"25","e[22]",0.779389168087909,0.442436465843581,-0.347905264989968
"26","e[23]",0.865685556512693,0.267798803598369,1.0819351730128
"27","e[24]",0.738637362938551,0.435154048692387,-0.484709991452218
"28","e[25]",0.856109905803728,0.285333897202471,0.828586288691157
"29","e[26]",0.440105823157968,0.33263385623405,-1.06235689186151
"30","e[27]",0.570977209072289,0.388416663797053,-0.850945963929738
"31","e[28]",0.668828453327144,0.422948421155546,-0.649289321723123
"32","e[29]",0.801857744393743,0.247407594604888,1.1006148414951
"33","e[30]",0.755287468602031,0.438556016390531,-0.432881371007389
"34","e[31]",0.348745945612942,0.0578350313254686,1.30033050487519
"35","e0",1.73675277925515,0.0979830353728809,-1.38146246833457
"36","lnalpha",-0.188498596504867,0.0189263690820053,-1.29940523142767
"37","lnalpha.c",-0.178702227170042,0.122711007832767,-1.63423035285822
"38","phi",0.860094456536366,0.760557058087189,-0.814957131251123
"39","sigma",0.0631089668232366,0.814411626834432,-0.91811952958911
"40","sigmaw",0.769717101810007,0.552475085659954,0.562564666326745
"41","tauw",0.873976799764024,-1.07577308353658,-0.993620454650014
