"variable","point_estimate","Upper C.I.","converge"
"Tau",0.999021504143633,1.007614037583,"true"
"alpha",1.02365013304897,1.06035739543975,"false"
"beta",1.00576924211017,1.02435468524073,"true"
"e[1]",1.0103878748576,1.03358956702565,"false"
"e[2]",0.996271513177108,1.01121339856099,"true"
"e[3]",0.997611990910195,1.01420390947028,"true"
"e[4]",0.996240609487185,1.0109387095096,"true"
"e[5]",0.996329582907012,1.01140009571766,"true"
"e[6]",1.00257267242356,1.02279927667594,"true"
"e[7]",0.99705145505078,1.01307053732806,"true"
"e[8]",1.01049299617955,1.03369375485507,"false"
"e[9]",1.00393116311437,1.0248972187636,"true"
"e[10]",1.01101476460324,1.03408660739395,"false"
"e[11]",1.00958161431602,1.03269252527467,"true"
"e[12]",1.00399368761431,1.02499179310895,"true"
"e[13]",1.01109775932312,1.03408483014931,"false"
"e[14]",1.00431656239793,1.02547748540762,"true"
"e[15]",0.999813722051694,1.01824569940535,"true"
"e[16]",0.99623876272569,1.01106572699103,"true"
"e[17]",1.01097063469538,1.03407034797629,"false"
"e[18]",0.997990467084468,1.01493694513437,"true"
"e[19]",0.996235259001513,1.01103876576289,"true"
"e[20]",1.00546894294139,1.02717472248865,"true"
"e[21]",1.01108790840847,1.033668296362,"false"
"e[22]",0.996260633116985,1.01091175931503,"true"
"e[23]",1.00691573424155,1.02922396458659,"true"
"e[24]",0.996478174832761,1.01102157494788,"true"
"e[25]",1.00328117934083,1.0239038826662,"true"
"e[26]",1.00012707128174,1.01588358209235,"true"
"e[27]",0.998218944906991,1.01319325782783,"true"
"e[28]",0.99704043327011,1.01164462615598,"true"
"e[29]",1.00836729970788,1.03117531514315,"true"
"e[30]",0.996369919082702,1.0109373941735,"true"
"e[31]",1.01103521501936,1.03351065498999,"false"
"e0",1.01953060434857,1.04822164514093,"false"
"lnalpha",1.0099041144192,1.03119570416318,"true"
"lnalpha.c",1.00727493152007,1.02396833364637,"true"
"phi",1.040594605607,1.15717294226959,"false"
"sigma",1.01870199479626,1.04578882231672,"false"
"sigmaw",0.993125058485698,1.00011764051089,"true"
"tauw",1.26026397817148,1.55457614002547,"false"
