"parameter","X0.","X2.5.","X5.","X50.","X95.","X97.5.","X100."
"lnalpha",1.01880321348534,1.50016049072457,1.57391424162845,1.93553440267316,2.30951570024522,2.38256377893459,2.91349875121069
"phi",-0.999727516435087,-0.951210179924682,-0.902843558508903,0.0243251670948287,0.892113846252796,0.947944621485179,0.99965048721052
"beta",0.0623375076871373,0.128433061023899,0.139064448262276,0.18884545287703,0.240037785071325,0.25058161677519,0.33737300313444
"sigma",0.251857110740723,0.305381220787776,0.317281565486518,0.389605686063215,0.494822277998508,0.52037547743749,0.70189763332731
"sigmaw",0.000173480715602636,0.0594148528164561,0.110735523076667,1.00599183752531,1.89960894672459,1.95553115255745,1.99973710475682
"Tau",2.02979624099286,3.69288997949591,4.08414837519245,6.587936860719,9.93368355384404,10.722976498284,15.7649125568157
"tauw",0.250065736771924,0.26149929496491,0.277122371785332,0.988123178321185,81.5504029840429,283.286183080565,33227494.1440144
"alpha",2.76987782709681,4.48240841354962,4.82549945121868,6.92774531519157,10.0695468308586,10.8326397997857,18.42113692455
"lnalpha.c",1.11724598530725,1.58557744097899,1.65375013841154,2.01289584094029,2.39618367921581,2.47471091724976,3.03564248368997
"e0",-0.732873579653345,-0.379688634179429,-0.322552623850499,0.00635092571481788,0.325718609275529,0.39459499610261,0.734737980225556
