"oy_0.9","oy_0.8","oy_0.7","of_0.9","of_0.8","of_0.7","or_0.9","or_0.8","or_0.7","Escapement"
0,0,0,1,1,1,0,0,0,0
0,0,0,1,1,1,0,0,0,100
0,0,0,1,1,1,0,0,0,200
0,0,0,1,1,1,0,0,0,300
0,0,0,1,1,1,0,0,0,400
0,0,0,1,1,1,0,0,0,500
0,0,0,1,1,1,0,0,0,600
0,0,0,1,1,1,0,0,0,700
0,0,0,1,1,1,0,0,0,800
0,0,0,1,1,1,0,0,0,900
0,0,0,1,1,1,0,0,0,1000
0,0,0,1,1,1,0,0,0,1100
0,0,0,1,1,1,0,0,0,1200
0,0,0,1,1,1,0,0,0,1300
0,0,0,1,1,1,0,0,0,1400
0,0,0,1,1,1,0,0,0,1500
0,0,0,1,1,1,0,0,0,1600
0,0,0,1,1,1,0,0,0,1700
0,0,0,1,1,1,0,0,0,1800
0,0,0,1,1,1,0,0,0,1900
0,0,0,1,1,1,0,0,0,2000
0,0,0,1,1,1,0,0,0,2100
0,0,0,1,1,1,0,0,0,2200
0,0,0,1,1,1,0,0,0,2300
0,0,0,1,1,1,0,0,0,2400
0,0,0,1,1,1,0,0,0,2500
0,0,0,1,1,1,0,0,0,2600
0,0,0,1,1,1,0,0,0,2700
0,0,0,1,1,1,0,0,0,2800
0,0,0,1,1,1,0,0,0,2900
0,0,0,1,1,1,0,0,0,3000
0,0,0,1,1,1,0,0,0,3100
0,0,0,1,1,1,0,0,0,3200
0,0,0,1,1,1,0,0,0,3300
0,0,0,1,1,1,0,0,0,3400
0,0,0,1,1,1,0,0,0,3500
0,0,0,1,1,1,0,0,0,3600
0,0,0,1,1,1,0,0,0,3700
0,0,0,1,1,1,0,0,0,3800
0,0,0,1,1,1,0,0,0,3900
0,0,0,1,1,1,0,0,0,4000
0,0,0,1,1,1,0,0,0,4100
0,0,0,1,1,1,0,0,0,4200
0,0,0,1,1,1,0,0,0,4300
0,0,0,1,1,1,0,0,0,4400
0,0,0,1,1,1,0,0,0,4500
0,0,0,1,1,1,0,0,0,4600
0,0,0,1,1,1,0,0,0,4700
0,0,0,1,1,1,0,0,0,4800
0,0,0,1,1,1,0,0,0,4900
0,0,0,1,1,1,0,0,0,5000
0,0,0,1,1,1,0,0,0,5100
0,0,0,1,1,1,0,0,0,5200
0,0,0,1,1,1,0,0,0,5300
0,0,0,1,1,1,0,0,0,5400
0,0,0,1,1,1,0,0,0,5500
0,0,0,1,1,1,0,0,0,5600
0,0,0,1,1,1,0,0,0,5700
0,0,0,1,1,1,0,0,0,5800
0,0,0,1,1,1,0,0,0,5900
0,0,0,1,1,1,0,0,0,6000
0,0,0,1,1,1,0,0,0,6100
0,0,0,1,1,1,0,0,0,6200
0,0,0,1,1,1,0,0,0,6300
0,0,0,1,1,1,0,0,0,6400
0,0,0,1,1,1,0,0,0,6500
0,0,0,1,1,1,0,0,0,6600
0,0,0,1,1,1,0,0,0,6700
0,0,0,1,1,1,0,0,0,6800
0,0,0,1,1,1,0,0,0,6900
0,0,0,1,1,1,0,0,0,7000
0,0,0,1,1,1,0,0,0,7100
0,0,0,1,1,1,0,0,0,7200
0,0,0,1,1,1,0,0,0,7300
0,0,0,1,1,1,0,0,0,7400
0,0,0,1,1,1,0,0,0,7500
0,0,0,1,1,1,0,0,0,7600
0,0,0,1,1,1,0,0,0,7700
0,0,0,1,1,1,0,0,0,7800
0,0,0,1,1,1,0,0,0,7900
0,0,0,1,1,1,0,0,0,8000
0,0,0,1,1,1,0,0,0,8100
0,0,0,1,1,1,0,0,0,8200
0,0,0,1,1,1,0,0,0,8300
0,0,0,1,1,1,0,0,0,8400
0,0,0,1,1,1,0,0,0,8500
0,0,0,1,1,1,0,0,0,8600
0,0,0,1,1,1,0,0,0,8700
0,0,0,1,1,1,0,0,0,8800
0,0,0,1,1,1,0,0,0,8900
0,0,0,1,1,1,0,0,0,9000
0,0,0,1,1,1,0,0,0,9100
0,0,0,1,1,1,0,0,0,9200
0,0,0,1,1,1,0,0,0,9300
0,0,0,1,1,1,0,0,0,9400
0,0,0,1,1,1,0,0,0,9500
0,0,0,1,1,1,0,0,0,9600
0,0,0,1,1,1,0,0,0,9700
0,0,0,1,1,1,0,0,0,9800
0,0,0,1,1,1,0,0,0,9900
0,0,0,1,1,1,0,0,0,10000
0,0,0,1,1,1,0,0,0,10100
0,0,0,1,1,1,0,0,0,10200
0,0,0,1,1,1,0,0,0,10300
0,0,0,1,1,1,0,0,0,10400
0,0,0,1,1,1,0,0,0,10500
0,0,0,1,1,1,0,0,0,10600
0,0,0,1,1,1,0,0,0,10700
0,0,0,1,1,1,0,0,0,10800
0,0,0,1,1,1,0,0,0,10900
0,0,0,1,1,1,0,0,0,11000
0,0,0,1,1,1,0,0,0,11100
0,0,0,1,1,1,0,0,0,11200
0,0,0,1,1,1,0,0,0,11300
0,0,0,1,1,1,0,0,0,11400
0,0,0,1,1,1,0,0,0,11500
0,0,0,1,1,1,0,0,0,11600
0,0,0,1,1,1,0,0,0,11700
0,0,0,1,1,1,0,0,0,11800
0,0,0,1,1,1,0,0,0,11900
0,0,0,1,1,1,0,0,0,12000
0,0,0,1,1,1,0,0,0,12100
0,0,0,1,1,1,0,0,0,12200
0,0,0,1,1,1,0,0,0,12300
0,0,0,1,1,1,0,0,0,12400
0,0,0,1,1,1,0,0,0,12500
0,0,0,1,1,1,0,0,0,12600
0,0,0,1,1,1,0,0,0,12700
0,0,0,1,1,1,0,0,0,12800
0,0,0,1,1,1,0,0,0,12900
0,0,0,1,1,1,0,0,0,13000
0,0,0,1,1,1,0,0,0,13100
0,0,0,1,1,1,0,0,0,13200
0,0,0,1,1,1,0,0,0,13300
0,0,0,1,1,1,0,0,0,13400
0,0,0,1,1,1,0,0,0,13500
0,0,0,1,1,1,0,0,0,13600
0,0,0,1,1,1,0,0,0,13700
0,0,0,1,1,1,0,0,0,13800
0,0,0,1,1,1,0,0,0,13900
0,0,0,1,1,1,0,0,0,14000
0,0,0,1,1,1,0,0,0,14100
0,0,0.000166666666666667,1,1,0.999833333333333,0,0,0,14200
0,0,0.000166666666666667,1,1,0.999833333333333,0,0,0,14300
0,0,0.000166666666666667,1,1,0.999833333333333,0,0,0,14400
0,0,0.000166666666666667,1,1,0.999833333333333,0,0,0,14500
0,0,5e-04,1,1,0.9995,0,0,0,14600
0,0,0.000666666666666667,1,1,0.999333333333333,0,0,0,14700
0,0,0.000833333333333333,1,1,0.999166666666667,0,0,0,14800
0,0,0.000833333333333333,1,1,0.999166666666667,0,0,0,14900
0,0,0.00116666666666667,1,1,0.998833333333333,0,0,0,15000
0,0,0.00166666666666667,1,1,0.998333333333333,0,0,0,15100
0,0,0.00283333333333333,1,1,0.997166666666667,0,0,0,15200
0,0,0.0045,1,1,0.9955,0,0,0,15300
0,0,0.00566666666666667,1,1,0.994333333333333,0,0,0,15400
0,0,0.00633333333333333,1,1,0.993666666666667,0,0,0,15500
0,0,0.00833333333333333,1,1,0.991666666666667,0,0,0,15600
0,0,0.0106666666666667,1,1,0.989333333333333,0,0,0,15700
0,0,0.0125,1,1,0.9875,0,0,0,15800
0,0,0.0156666666666667,1,1,0.984333333333333,0,0,0,15900
0,0,0.0186666666666667,1,1,0.981333333333333,0,0,0,16000
0,0,0.023,1,1,0.977,0,0,0,16100
0,0,0.0288333333333333,1,1,0.971166666666667,0,0,0,16200
0,0,0.0355,1,1,0.9645,0,0,0,16300
0,0,0.0425,1,1,0.9575,0,0,0,16400
0,0,0.0501666666666667,1,1,0.949833333333333,0,0,0,16500
0,0,0.0596666666666667,1,1,0.940333333333333,0,0,0,16600
0,0,0.0708333333333333,1,1,0.929166666666667,0,0,0,16700
0,0,0.0795,1,1,0.9205,0,0,0,16800
0,0,0.0925,1,1,0.9075,0,0,0,16900
0,0,0.1085,1,1,0.8915,0,0,0,17000
0,0,0.126666666666667,1,1,0.873333333333333,0,0,0,17100
0,0,0.142833333333333,1,1,0.857166666666667,0,0,0,17200
0,0,0.160833333333333,1,1,0.839166666666667,0,0,0,17300
0,0,0.181833333333333,1,1,0.818166666666667,0,0,0,17400
0,0,0.202166666666667,1,1,0.797833333333333,0,0,0,17500
0,0,0.224166666666667,1,1,0.775833333333333,0,0,0,17600
0,0.000166666666666667,0.244166666666667,1,0.999833333333333,0.755833333333333,0,0,0,17700
0,0.000166666666666667,0.267,1,0.999833333333333,0.733,0,0,0.000166666666666667,17800
0,0.000166666666666667,0.293,1,0.999833333333333,0.707,0,0,0.000166666666666667,17900
0,0.000166666666666667,0.321833333333333,1,0.999833333333333,0.678166666666667,0,0,0.000166666666666667,18000
0,0.000166666666666667,0.344833333333333,1,0.999833333333333,0.655166666666667,0,0,0.000166666666666667,18100
0,0.000333333333333333,0.3705,1,0.999666666666667,0.6295,0,0,0.000166666666666667,18200
0,0.000666666666666667,0.391833333333333,1,0.999333333333333,0.608166666666667,0,0,0.000166666666666667,18300
0,0.000833333333333333,0.419166666666667,1,0.999166666666667,0.580833333333333,0,0,0.000166666666666667,18400
0,0.000833333333333333,0.444833333333333,1,0.999166666666667,0.555166666666667,0,0,0.000166666666666667,18500
0,0.000833333333333333,0.470833333333333,1,0.999166666666667,0.529166666666667,0,0,0.000166666666666667,18600
0,0.001,0.4975,1,0.999,0.5025,0,0,0.000333333333333333,18700
0,0.0015,0.525333333333333,1,0.9985,0.474666666666667,0,0,0.000333333333333333,18800
0,0.00183333333333333,0.547666666666667,1,0.998166666666667,0.452333333333333,0,0,5e-04,18900
0,0.00366666666666667,0.569166666666667,1,0.996333333333333,0.430833333333333,0,0,0.000666666666666667,19000
0,0.00483333333333333,0.595833333333333,1,0.995166666666667,0.404166666666667,0,0,0.000666666666666667,19100
0,0.00566666666666667,0.622166666666667,1,0.994333333333333,0.377833333333333,0,0,0.000666666666666667,19200
0,0.00616666666666667,0.646666666666667,1,0.993833333333333,0.353333333333333,0,0,0.000833333333333333,19300
0,0.0075,0.6655,1,0.9925,0.3345,0,0,0.001,19400
0,0.00966666666666667,0.688666666666667,1,0.990333333333333,0.311333333333333,0,0,0.00166666666666667,19500
0,0.0111666666666667,0.707,1,0.988833333333333,0.293,0,0,0.00183333333333333,19600
0,0.0131666666666667,0.723833333333333,1,0.986833333333333,0.276166666666667,0,0,0.00216666666666667,19700
0,0.0156666666666667,0.743333333333333,1,0.984333333333333,0.256666666666667,0,0,0.00283333333333333,19800
0,0.0176666666666667,0.758333333333333,1,0.982333333333333,0.241666666666667,0,0,0.003,19900
0,0.0206666666666667,0.772833333333333,1,0.979333333333333,0.227166666666667,0,0,0.00366666666666667,20000
0,0.0235,0.790666666666667,1,0.9765,0.209333333333333,0,0,0.004,20100
0,0.0293333333333333,0.803333333333333,1,0.970666666666667,0.196666666666667,0,0,0.00466666666666667,20200
0,0.0341666666666667,0.818333333333333,1,0.965833333333333,0.181666666666667,0,0,0.00483333333333333,20300
0,0.0398333333333333,0.829333333333333,1,0.960166666666667,0.170666666666667,0,0,0.00566666666666667,20400
0,0.0458333333333333,0.840166666666667,1,0.954166666666667,0.159833333333333,0,0,0.00633333333333333,20500
0,0.0526666666666667,0.853,1,0.947333333333333,0.147,0,0,0.007,20600
0,0.0605,0.8645,1,0.9395,0.1355,0,0,0.008,20700
0,0.0696666666666667,0.874333333333333,1,0.930333333333333,0.125666666666667,0,0,0.00883333333333333,20800
0,0.0771666666666667,0.883333333333333,1,0.922833333333333,0.116666666666667,0,0,0.00983333333333333,20900
0,0.0858333333333333,0.893166666666667,1,0.914166666666667,0.106833333333333,0,0,0.0113333333333333,21000
0,0.1,0.8995,1,0.9,0.1005,0,0,0.0125,21100
0,0.1125,0.907666666666667,1,0.8875,0.0923333333333333,0,0,0.0136666666666667,21200
0,0.126833333333333,0.915333333333333,1,0.873166666666667,0.0846666666666667,0,0,0.0151666666666667,21300
0,0.140666666666667,0.924833333333333,1,0.859333333333333,0.0751666666666667,0,0,0.017,21400
0,0.1555,0.931,1,0.8445,0.069,0,0,0.019,21500
0,0.170333333333333,0.935333333333333,1,0.829666666666667,0.0646666666666667,0,0,0.0203333333333333,21600
0,0.189166666666667,0.939666666666667,1,0.810833333333333,0.0603333333333333,0,0,0.023,21700
0,0.204,0.944166666666667,1,0.796,0.0558333333333333,0,0,0.0248333333333333,21800
0,0.220833333333333,0.949333333333333,1,0.779166666666667,0.0506666666666667,0,0,0.028,21900
0,0.238666666666667,0.953,1,0.761333333333333,0.047,0,0,0.0295,22000
0,0.254833333333333,0.957666666666667,1,0.745166666666667,0.0423333333333333,0,0,0.0323333333333333,22100
0,0.275333333333333,0.9605,1,0.724666666666667,0.0395,0,0,0.036,22200
0,0.2985,0.963666666666667,1,0.7015,0.0363333333333333,0,0,0.0395,22300
0,0.32,0.966666666666667,1,0.68,0.0333333333333333,0,0.000166666666666667,0.0435,22400
0.000166666666666667,0.340166666666667,0.969833333333333,0.999833333333333,0.659833333333333,0.0301666666666667,0,0.000166666666666667,0.0471666666666667,22500
0.000166666666666667,0.360833333333333,0.972833333333333,0.999833333333333,0.639166666666667,0.0271666666666667,0,0.000166666666666667,0.0503333333333333,22600
0.000166666666666667,0.3795,0.974166666666667,0.999833333333333,0.6205,0.0258333333333333,0,0.000166666666666667,0.0538333333333333,22700
0.000166666666666667,0.398,0.977,0.999833333333333,0.602,0.023,0,0.000166666666666667,0.0578333333333333,22800
0.000166666666666667,0.4205,0.9785,0.999833333333333,0.5795,0.0215,0,0.000166666666666667,0.0628333333333333,22900
0.000166666666666667,0.440833333333333,0.980333333333333,0.999833333333333,0.559166666666667,0.0196666666666667,0,0.000166666666666667,0.0691666666666667,23000
0.000166666666666667,0.461666666666667,0.981,0.999833333333333,0.538333333333333,0.019,0,0.000166666666666667,0.074,23100
0.000333333333333333,0.483333333333333,0.982166666666667,0.999666666666667,0.516666666666667,0.0178333333333333,0,0.000166666666666667,0.079,23200
0.000666666666666667,0.5055,0.983833333333333,0.999333333333333,0.4945,0.0161666666666667,0,0.000166666666666667,0.0828333333333333,23300
0.000833333333333333,0.527666666666667,0.9855,0.999166666666667,0.472333333333333,0.0145,0,0.000166666666666667,0.088,23400
0.000833333333333333,0.5465,0.9865,0.999166666666667,0.4535,0.0135,0,0.000166666666666667,0.0933333333333333,23500
0.000833333333333333,0.563666666666667,0.987333333333333,0.999166666666667,0.436333333333333,0.0126666666666667,0,0.000333333333333333,0.0988333333333333,23600
0.000833333333333333,0.584,0.988666666666667,0.999166666666667,0.416,0.0113333333333333,0,0.000333333333333333,0.106166666666667,23700
0.001,0.604666666666667,0.989333333333333,0.999,0.395333333333333,0.0106666666666667,0,5e-04,0.111833333333333,23800
0.0015,0.6265,0.99,0.9985,0.3735,0.01,0,0.000666666666666667,0.1185,23900
0.00166666666666667,0.645833333333333,0.990166666666667,0.998333333333333,0.354166666666667,0.00983333333333333,0,0.000666666666666667,0.126666666666667,24000
0.00316666666666667,0.661166666666667,0.9915,0.996833333333333,0.338833333333333,0.0085,0,0.000666666666666667,0.135166666666667,24100
0.004,0.681,0.992166666666667,0.996,0.319,0.00783333333333333,0,0.000666666666666667,0.142,24200
0.00466666666666667,0.696333333333333,0.993166666666667,0.995333333333333,0.303666666666667,0.00683333333333333,0,0.000833333333333333,0.152666666666667,24300
0.00566666666666667,0.7115,0.9935,0.994333333333333,0.2885,0.0065,0,0.001,0.1615,24400
0.006,0.725166666666667,0.994166666666667,0.994,0.274833333333333,0.00583333333333333,0,0.0015,0.169,24500
0.00666666666666667,0.741333333333333,0.994833333333333,0.993333333333333,0.258666666666667,0.00516666666666667,0,0.00183333333333333,0.1795,24600
0.00833333333333333,0.7545,0.9955,0.991666666666667,0.2455,0.0045,0,0.002,0.189166666666667,24700
0.00933333333333333,0.765,0.996,0.990666666666667,0.235,0.004,0,0.00216666666666667,0.199666666666667,24800
0.0108333333333333,0.777833333333333,0.996166666666667,0.989166666666667,0.222166666666667,0.00383333333333333,0,0.0025,0.208166666666667,24900
0.0123333333333333,0.792666666666667,0.996166666666667,0.987666666666667,0.207333333333333,0.00383333333333333,0,0.00283333333333333,0.218,25000
0.0146666666666667,0.8025,0.996333333333333,0.985333333333333,0.1975,0.00366666666666667,0,0.00316666666666667,0.227833333333333,25100
0.017,0.815166666666667,0.9965,0.983,0.184833333333333,0.0035,0,0.00366666666666667,0.236166666666667,25200
0.0181666666666667,0.824833333333333,0.996666666666667,0.981833333333333,0.175166666666667,0.00333333333333333,0,0.004,0.245666666666667,25300
0.0205,0.833166666666667,0.996833333333333,0.9795,0.166833333333333,0.00316666666666667,0,0.0045,0.2565,25400
0.023,0.842666666666667,0.996833333333333,0.977,0.157333333333333,0.00316666666666667,0,0.00466666666666667,0.265166666666667,25500
0.0268333333333333,0.853833333333333,0.997166666666667,0.973166666666667,0.146166666666667,0.00283333333333333,0,0.005,0.275333333333333,25600
0.0315,0.8615,0.997333333333333,0.9685,0.1385,0.00266666666666667,0,0.00566666666666667,0.284833333333333,25700
0.0355,0.870833333333333,0.997333333333333,0.9645,0.129166666666667,0.00266666666666667,0,0.00616666666666667,0.296666666666667,25800
0.04,0.877833333333333,0.997333333333333,0.96,0.122166666666667,0.00266666666666667,0,0.00683333333333333,0.308833333333333,25900
0.0453333333333333,0.886166666666667,0.9975,0.954666666666667,0.113833333333333,0.0025,0,0.00716666666666667,0.318166666666667,26000
0.0506666666666667,0.894,0.997666666666667,0.949333333333333,0.106,0.00233333333333333,0,0.008,0.329166666666667,26100
0.0558333333333333,0.898333333333333,0.997833333333333,0.944166666666667,0.101666666666667,0.00216666666666667,0,0.00883333333333333,0.341166666666667,26200
0.0625,0.905333333333333,0.998,0.9375,0.0946666666666667,0.002,0,0.0095,0.3515,26300
0.07,0.911333333333333,0.998,0.93,0.0886666666666667,0.002,0,0.0108333333333333,0.362666666666667,26400
0.0758333333333333,0.9175,0.998,0.924166666666667,0.0825,0.002,0,0.0121666666666667,0.373666666666667,26500
0.082,0.9265,0.998166666666667,0.918,0.0735,0.00183333333333333,0,0.0128333333333333,0.385,26600
0.0931666666666667,0.931166666666667,0.998166666666667,0.906833333333333,0.0688333333333333,0.00183333333333333,0,0.0136666666666667,0.396333333333333,26700
0.103833333333333,0.934666666666667,0.998333333333333,0.896166666666667,0.0653333333333333,0.00166666666666667,0,0.0146666666666667,0.407666666666667,26800
0.1125,0.9375,0.998333333333333,0.8875,0.0625,0.00166666666666667,0,0.0161666666666667,0.418166666666667,26900
0.124333333333333,0.94,0.998333333333333,0.875666666666667,0.06,0.00166666666666667,0,0.0178333333333333,0.430333333333333,27000
0.135666666666667,0.9455,0.998833333333333,0.864333333333333,0.0545,0.00116666666666667,0,0.0191666666666667,0.439666666666667,27100
0.1465,0.950333333333333,0.998833333333333,0.8535,0.0496666666666667,0.00116666666666667,0,0.0203333333333333,0.451166666666667,27200
0.1575,0.952166666666667,0.999,0.8425,0.0478333333333333,0.001,0,0.0225,0.460833333333333,27300
0.1705,0.956666666666667,0.999,0.8295,0.0433333333333333,0.001,0,0.0236666666666667,0.473666666666667,27400
0.187,0.959666666666667,0.999166666666667,0.813,0.0403333333333333,0.000833333333333333,0,0.0258333333333333,0.485666666666667,27500
