"variable","X2.5","X50","X97.5","post_cv"
"lnalpha",1.21349933223753,1.55752290990189,1.87912157944373,0.106801332683821
"lnalpha.c",1.31111104922581,1.64585643162426,1.98442696820099,0.101811504648742
"beta",0.0955864243209659,0.133655833791308,0.170888592021522,0.14352959052232
"beta1",9.55864243209659e-06,1.33655833791308e-05,1.70888592021522e-05,0.14352959052232
"alpha",3.36524022238987,4.74704780446002,6.54775099840154,0.1670540950088
"alpha.c",3.71029382271992,5.18544898988787,7.27487746378857,0.171591472703693
"Smsy_lambert",39514.8496030525,45602.1825841559,55603.1432855875,0.0897014015312637
"Smsy_lambert.c",40899.2230256662,47429.6879165701,58677.9868767143,0.0967236996657207
"Umsy_lambert",0.5067533661504,0.611656888283083,0.694222847312278,0.076840759713745
"Umsy_lambert.c",0.538290868142522,0.635801153246223,0.718127286594793,0.0706296241769816
"Smax",58517.6569903425,74819.0312609886,104617.367040659,0.15762139200464
"Rmsy.c",109965.281449397,130832.10383328,160185.705884221,0.10265706589153
"Rmsy",98078.1087689955,118409.499231509,141938.242096399,0.0962786401634875
"Seq",103541.906173019,116118.883052007,137008.826322368,0.0742479169185717
"MSY",51582.1455418819,72280.2240779769,97095.8929258611,0.159088754812063
"MSY.c",61364.6692833361,83206.6864865427,112931.660959853,0.160372183928642
"Rmax.c",125011.719896782,143327.172511254,171371.302617464,0.0883849430924277
"Rmax",113959.489426967,131512.866610253,153785.235942303,0.0793883357472689
