"variable","X2.5","X50","X97.5","post_cv"
"lnalpha",1.24529818350905,1.59518284329634,1.92488977140889,0.107966210996856
"lnalpha.c",1.34595205962757,1.68357858010314,2.02871493157278,0.102483909968809
"beta",0.0946717083678276,0.134757519701671,0.172259182281794,0.148637504930412
"beta1",9.46717083678276e-06,1.34757519701671e-05,1.72259182281794e-05,0.148637504930412
"alpha",3.47397064123808,4.92923026644777,6.85439307626313,0.172099208996936
"alpha.c",3.84184246576875,5.38479144632909,7.6043080277608,0.174990865379482
"Smsy_lambert",39839.444100343,46011.6741331708,56908.1816614119,0.0944090040660007
"Smsy_lambert.c",41146.576530037,47835.9705547983,60260.9315694545,0.10125887623919
"Umsy_lambert",0.517182215041883,0.622088254680859,0.704797170375039,0.0768205420513104
"Umsy_lambert.c",0.549206389248117,0.645769926806672,0.727735108874824,0.0701977551567424
"Smax",58052.0583680654,74207.3616535109,105628.177454664,0.162291882446654
"Rmsy.c",114778.08312563,136252.482164418,167245.463333588,0.102295146273879
"Rmsy",102213.402009495,122936.956759412,148046.15982752,0.0967863328943892
"Seq",105043.418408515,118145.633944734,140867.976027794,0.0773013177482457
"MSY",54649.5019939126,76100.2602757852,102275.227490827,0.158546931468643
"MSY.c",65137.6259337798,87748.287395971,119361.045603314,0.158406924190167
"Rmax.c",128864.907789544,148470.782417314,178131.707189579,0.0887608406859236
"Rmax",117411.782303959,135835.317930098,159292.831333201,0.0805026154792931
