"parameter","X0.","X2.5.","X5.","X50.","X95.","X97.5.","X100."
"lnalpha",0.988554081014069,1.52815080847583,1.59897025809967,1.98786205925034,2.33959993665592,2.42241333925719,2.90977110384618
"phi",-0.92331701763514,-0.582041791165917,-0.517360893851597,-0.189177175587165,0.159501407032548,0.235452203374057,0.785050860821034
"beta",0.0708440881535947,0.133969870859433,0.145464613892587,0.1989276405637,0.248551446706287,0.25879312028734,0.318352139530868
"sigma",0.240552779352909,0.300397972105895,0.312945297604232,0.388727281215571,0.496457050898431,0.522780753053977,0.700346602571168
"sigmaw",0.000218361150524197,0.0519659538757908,0.10102742163946,0.984736301699825,1.88913615275878,1.94659727925821,1.99924882501159
"Tau",2.03879682033571,3.65898665151469,4.05729548098715,6.61774393949933,10.210879279101,11.0816903393786,17.2814126997004
"tauw",0.250187899599585,0.263905097183365,0.280203452454583,1.0312408473178,97.9764552116324,370.307807859879,20972454.0820351
"alpha",2.68734597723203,4.60964482238342,4.94793472172528,7.29991029171469,10.3770842486309,11.2730322718995,18.3525972472807
"lnalpha.c",1.12224687245726,1.6198490123197,1.68859985219496,2.07291262045448,2.44185314407257,2.52422299383174,3.0842773274527
"e0",-0.752001890078242,-0.384888532989914,-0.317343427261766,0.00919093498262218,0.320796267217337,0.38336698596155,0.737885029653648
