"","variable","0","2.5","5","50","95","97.5","100","mean","sd","post_cv"
"1","lnalpha",1.04777442518945,1.51411523476361,1.59787279194761,1.97862642070542,2.35458302491957,2.41952347840683,2.90104119069062,1.97800745334177,0.229149553938965,0.11584868072758
"2","lnalpha.c",1.16025031219203,1.60121354019489,1.68761350105622,2.06267098013026,2.4483940517657,2.52736594568607,3.246517717219,2.06559882657122,0.233655443162062,0.113117532870561
"3","beta",0.0603989963318021,0.133793402711403,0.14451123324359,0.197583418717885,0.249571308691667,0.259073363135481,0.335250607830461,0.197344728179103,0.031764804575881,0.160960998902653
"4","beta1",6.03989963318021e-06,1.33793402711403e-05,1.4451123324359e-05,1.97583418717885e-05,2.49571308691667e-05,2.59073363135481e-05,3.35250607830461e-05,1.97344728179103e-05,3.1764804575881e-06,0.160960998902653
"5","alpha",2.85129827370488,4.54539808934834,4.94250749407602,7.23280141539364,10.5337356445849,11.2405016977122,18.1930779749277,7.4192475414875,1.70774235359244,0.23017729817518
"6","alpha.c",3.19073185524983,4.95904677712702,5.40656254530475,7.86695425790682,11.5697513957825,12.5204831864006,25.7006868498463,8.10934996306021,1.94445870054254,0.239779847879295
"7","Smsy_lambert",25919.1217679077,30723.861118361,31521.8635620394,36242.37617655,43505.3017002099,45519.2614087452,74500.8729955913,36726.6421108676,3823.93588832651,0.104118854012929
"8","Smsy_lambert.c",26678.9394526332,31353.0540878288,32166.3875344074,37150.9402835879,45223.4602682224,47474.0676545183,80954.0299982601,37730.4356710609,4176.56536115463,0.110694861770654
"9","Umsy_lambert",0.449977795477677,0.599378073114251,0.62282548845701,0.716849542630891,0.790682064455391,0.801675049410543,0.868940132712279,0.713201244742027,0.0514320647576079,0.0721143788471815
"10","Umsy_lambert.c",0.488954216090951,0.623739632278942,0.646824192584508,0.734925734512356,0.806405343735027,0.818863200722884,0.903922070107843,0.731985704649537,0.049325737072515,0.0673862027075123
"11","Smax",29828.4321234015,38599.105208577,40068.7086135833,50611.5352361316,69198.7728807394,74742.100861208,165565.665115774,52139.4890036672,9518.90767350803,0.182566186500956
"12","Rmsy.c",74545.6104434143,116693.754246308,121045.869611878,141343.944433274,171506.890511367,178574.000712614,476672.373593415,143255.275017659,16855.6698887141,0.117661774665095
"13","Rmsy",58261.668563451,105990.811104693,110138.891737211,128950.997598919,153981.567427254,159627.136481827,203888.265210566,130134.773027136,13567.6689634045,0.10425859781978
"14","Seq",66815.1289792918,91125.5693466061,92279.1127081031,100223.970826359,113215.444866743,116855.799196857,173475.469597789,101127.963202227,6790.81580104956,0.0671507225698781
"15","MSY",30643.4857863309,64276.8461828856,69398.9655347327,92243.2233234733,120853.010094533,127542.913118225,176469.236149754,93408.1309162685,15862.8867479928,0.169823403941274
"16","MSY.c",43737.2224207357,74129.633128208,79180.0686567093,103534.934325778,137330.467031105,145433.547375704,430242.618961735,105524.839346598,18957.21085621,0.179646905634651
"17","Rmax.c",84043.9954167367,126338.674165856,130247.728078913,147934.484721441,175835.193573263,182420.273372553,479098.216362843,149820.744458027,15471.2302967142,0.103264940730878
"18","Rmax",68953.4571648026,116533.216346723,119772.781441783,135942.52139732,158467.925408174,163661.958776263,205926.029423104,137114.461734241,11947.8851583,0.0871380378639984
