"beta","e0","lnalpha","phi","sigma"
0.194458407227876,0.044959996866638,2.05067298072258,-0.115756065654572,0.425509868446174
0.183393605931346,0.406752922325837,1.85805001532933,-0.105671119368566,0.37793858768887
0.137845497535912,0.0219217216099888,1.6662423351212,0.155284411080945,0.448128241383323
0.232910876359906,-0.0968273838562393,2.2804912238195,-0.0363730512136189,0.302745110133356
0.258179494536495,-0.173430356515585,2.46076162820974,-0.479326877123918,0.395601928563786
0.260659378123285,0.126312366820469,2.64795457239773,-0.629782388967829,0.386145491515718
0.257409503485191,0.156071731057565,2.52004581251304,-0.332557568107955,0.407905741507603
0.264174943058708,-0.20833708971152,2.59270663804857,-0.082569120255553,0.484275058115904
0.242193907401555,-0.185758017476256,2.3591627231831,-0.407512910505054,0.405554106292716
0.264216920056797,0.380586021561304,2.59987317208968,-0.319455684851263,0.370958663590637
0.240868328809158,0.0785782635549952,2.35607519969394,-0.543571223791414,0.342419754414642
0.228425072314818,0.194444826758799,2.22259820904314,0.256319750879737,0.388207706358403
0.203697625554965,-0.206899495420468,2.22151170004586,-0.374368134091524,0.467000354072158
0.169210909535545,-0.168339487790992,1.84585396599139,-0.046295500045019,0.288037462830873
0.167250314942666,0.618009693350954,1.94330225623771,0.101597456324927,0.396703067812373
0.142548482007733,0.392306055585416,1.79046340031408,-0.280224886320741,0.354038349938305
0.168870804215584,0.421342290206144,1.95440747548587,-0.0644586302824394,0.471962863870264
0.193489440202619,-0.272928339639853,2.01209375222039,-0.489814221095844,0.448402074401418
0.167739085571096,0.0781161863364112,2.06421963392623,-0.430269888611403,0.559167671472187
0.165808556222854,-2.78251069690816e-05,1.81809982698196,-0.0270311575753137,0.337363106375949
0.145372491740844,-0.116309599292149,1.78980100365016,-0.0131634871805121,0.363075638444804
0.188524561171543,-0.0471919952457846,1.95843255292888,-0.112892760791092,0.33933965971755
0.190938516878666,0.0601644464575977,1.99703599333799,-0.39840335690866,0.475506270322488
0.220259164532157,-0.280982430700905,2.31673130134378,-0.795177628266484,0.335831454724279
0.182438586824097,0.168145084030331,1.94542332921079,-0.131746589361969,0.348271909497648
0.189341230059409,-0.272716314735274,2.03151354462188,-0.277084515693464,0.362317360933565
0.181668541493352,-0.210301450388586,2.02869347437435,0.122538436680107,0.600909837577972
0.16296029640134,0.198152919339391,1.78292332494917,-0.150552472817086,0.353714047441609
0.15289826103323,0.0892125730117321,1.69625232023575,0.248935331069706,0.46520676345346
0.210954416669019,-0.160596634529502,2.09700328405651,-0.230372427531209,0.338168723433422
0.201866493031816,0.407487275073375,2.19151139706126,-0.428925952641657,0.32201569644844
0.211861281074574,0.0582716962989209,2.13271998292898,-0.252177836439974,0.443333806481188
0.204010001676757,0.0713546217479824,2.13567211374916,-0.584310416988457,0.327488507068102
0.191215173759069,-0.208683306827246,2.03315323074134,0.141433216069149,0.35342081058345
0.167739472487591,0.0918413390785693,1.84577372062734,-0.211160587870601,0.440955265303503
0.215615590340072,0.0567220588202082,2.14685567431778,-0.359822534866587,0.424469333688533
0.20571410620826,-0.165664932133602,2.08726004423589,-0.233790943122041,0.298472752848991
0.251758138425987,-0.0301364473902838,2.35575152201107,-0.378507597414426,0.390750549708079
0.219595630804026,-0.13288588934859,2.20452260363518,-0.335715138657211,0.362055267059147
0.228280977009074,0.0980472777490559,2.33470996624014,-0.20245402848106,0.367924964754318
0.178192557990722,0.287313439709748,1.94875635523554,-0.0619788539917101,0.311411316724699
0.211237493594255,-0.311077095161667,2.08565647667767,-0.15844358917006,0.331977043408518
0.215842187890301,0.188967741889058,2.20224010956584,-0.113866572424498,0.403838933997591
0.23455937263118,-0.0745189816306591,2.29097802802323,-0.302259564152328,0.319631803343867
0.196470438832519,-0.143814256586274,2.10435215118088,-0.417271079345712,0.368117783013584
0.226119222638514,0.104880454520548,2.25589710593742,-0.240464945919306,0.380291354902446
0.234320462798263,-0.00145538228053843,2.35999951691808,-0.078340485523303,0.449332041943136
0.207550732457923,0.130878687989328,2.09880575577643,-0.424241392604125,0.374988821791334
0.185565871607643,-0.232047010254808,2.02833898420954,0.105170961670038,0.446961435015903
0.204409156109065,-0.251420078100549,2.23098590492042,0.0447428628007104,0.481637836207778
0.19384726513904,-0.377800829169157,1.98684899793934,-0.377414425199849,0.403036568618032
0.188133144808281,0.194433044251233,2.10841504889082,-0.0528031030836244,0.37818299171464
0.158000717557715,0.0591624945332021,1.87919691118956,-0.238026917296964,0.320052144273954
0.211847858618597,-0.0819530587894053,2.21481791628411,-0.101150042328379,0.360658496667424
0.190520824077768,-0.155281339970144,2.09431879492723,0.03051261732017,0.356146568120296
0.211938204250459,0.1674966247843,2.16862235903494,-0.131223849591009,0.438898562812586
0.204405887043432,-0.0660982679178997,2.1509730700263,-0.332274744130268,0.38869508229156
0.213788484510601,0.241245400874183,2.14905112663852,-0.117034066700269,0.441859055125945
0.192891439552989,-0.0526173609977586,1.98989524604881,-0.199021115828268,0.394959310044713
0.165450695054413,0.12214595142304,1.85771321637237,-0.110286779260363,0.325970437416594
0.212283945657732,0.0740181443343345,2.10444952351474,-0.285303780743298,0.373585355954539
0.194887132027554,0.061850573094906,2.07311985422166,-0.559880280893081,0.448092464302599
0.164790659586601,0.00104820981825809,1.95780748375482,0.0453330788075783,0.424702696907904
0.169716889671461,0.205435199673138,1.72662653262301,-0.190292786668176,0.311831470768029
0.193063797720349,-0.027336450580549,2.04365973644561,-0.220243500832672,0.412865970093181
0.189056675500447,0.197870852944786,2.07237778832778,-0.0252517329953212,0.455616296603475
0.199713957089265,0.208094487332264,2.14357574734342,-0.0329124013132339,0.509765695782892
0.21196323437791,-0.173256064776708,2.17861441456384,-0.496878872172378,0.336409788028333
0.21055028780504,0.0878900155824529,2.13428661287294,-0.109782380836136,0.398215442004853
0.192701658569265,0.203058276386996,1.99630311654536,0.0451556029065237,0.294129069409925
0.212016880984878,-0.00528432318069652,2.21970744962415,-0.462472081379526,0.401364682000146
0.227546854391221,-0.0146128504463132,2.28195633674514,-0.149406975155548,0.369691248836924
0.23269943066535,-0.20118775869918,2.31266115023477,-0.254730779227944,0.360912802822817
0.248919782408117,0.0173541339590856,2.47137017149676,-0.124159699322633,0.418861353530674
0.205842733698195,0.279502033916558,2.22206906427592,0.000546721906829917,0.446214012772335
0.207180232106487,0.239511220137647,2.18314929663157,-0.46001604579566,0.398929904354752
0.201547360952219,-0.0045924142514564,2.18767947965966,-0.114620014100739,0.386840309887159
0.181470326320201,0.00572406245465018,1.92867887998445,-0.166095477995729,0.358253505452358
